config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene-noctx|ALNS,3.135135135135135,auc,4.071531776290217e-115,5.979605999036511,37
serene-full|ALNS,4.27027027027027,auc,4.071531776290217e-115,5.979605999036511,37
serene-plainTS|ALNS,5.72972972972973,auc,4.071531776290217e-115,5.979605999036511,37
serene-full|SA,6.54054054054054,auc,4.071531776290217e-115,5.979605999036511,37
serene-noctx|Tabu,6.972972972972973,auc,4.071531776290217e-115,5.979605999036511,37
uniform|ALNS,7.243243243243243,auc,4.071531776290217e-115,5.979605999036511,37
serene-full|Tabu,7.918918918918919,auc,4.071531776290217e-115,5.979605999036511,37
serene-nogate|ALNS,8.513513513513514,auc,4.071531776290217e-115,5.979605999036511,37
roulette|ALNS,8.72972972972973,auc,4.071531776290217e-115,5.979605999036511,37
serene-noctx|SA,8.756756756756756,auc,4.071531776290217e-115,5.979605999036511,37
serene-plainTS|SA,10.486486486486486,auc,4.071531776290217e-115,5.979605999036511,37
serene-nogate|SA,10.64864864864865,auc,4.071531776290217e-115,5.979605999036511,37
uniform|SA,12.45945945945946,auc,4.071531776290217e-115,5.979605999036511,37
roulette|SA,12.837837837837839,auc,4.071531776290217e-115,5.979605999036511,37
serene-plainTS|Tabu,13.378378378378379,auc,4.071531776290217e-115,5.979605999036511,37
uniform|Tabu,15.513513513513514,auc,4.071531776290217e-115,5.979605999036511,37
serene-nogate|Tabu,15.621621621621621,auc,4.071531776290217e-115,5.979605999036511,37
roulette|Tabu,16.594594594594593,auc,4.071531776290217e-115,5.979605999036511,37
greedy-mean|ALNS,18.2972972972973,auc,4.071531776290217e-115,5.979605999036511,37
greedy-mean|SA,19.513513513513512,auc,4.071531776290217e-115,5.979605999036511,37
serene-noexpl|ALNS,20.27027027027027,auc,4.071531776290217e-115,5.979605999036511,37
serene-noexpl|SA,21.16216216216216,auc,4.071531776290217e-115,5.979605999036511,37
greedy-mean|Tabu,22.54054054054054,auc,4.071531776290217e-115,5.979605999036511,37
serene-noexpl|Tabu,22.864864864864863,auc,4.071531776290217e-115,5.979605999036511,37
serene-noctx|ALNS,4.148648648648648,q25,2.615709232960119e-103,5.979605999036511,37
serene-full|ALNS,4.918918918918919,q25,2.615709232960119e-103,5.979605999036511,37
serene-plainTS|ALNS,6.202702702702703,q25,2.615709232960119e-103,5.979605999036511,37
roulette|ALNS,6.95945945945946,q25,2.615709232960119e-103,5.979605999036511,37
serene-nogate|ALNS,7.445945945945946,q25,2.615709232960119e-103,5.979605999036511,37
serene-full|SA,7.527027027027027,q25,2.615709232960119e-103,5.979605999036511,37
uniform|ALNS,7.8108108108108105,q25,2.615709232960119e-103,5.979605999036511,37
serene-noctx|SA,8.337837837837839,q25,2.615709232960119e-103,5.979605999036511,37
serene-noctx|Tabu,8.905405405405405,q25,2.615709232960119e-103,5.979605999036511,37
serene-full|Tabu,8.91891891891892,q25,2.615709232960119e-103,5.979605999036511,37
serene-nogate|SA,10.45945945945946,q25,2.615709232960119e-103,5.979605999036511,37
serene-plainTS|SA,11.31081081081081,q25,2.615709232960119e-103,5.979605999036511,37
uniform|SA,11.675675675675675,q25,2.615709232960119e-103,5.979605999036511,37
roulette|SA,12.364864864864865,q25,2.615709232960119e-103,5.979605999036511,37
serene-nogate|Tabu,14.5,q25,2.615709232960119e-103,5.979605999036511,37
serene-plainTS|Tabu,14.58108108108108,q25,2.615709232960119e-103,5.979605999036511,37
roulette|Tabu,14.945945945945946,q25,2.615709232960119e-103,5.979605999036511,37
uniform|Tabu,14.972972972972974,q25,2.615709232960119e-103,5.979605999036511,37
greedy-mean|ALNS,17.986486486486488,q25,2.615709232960119e-103,5.979605999036511,37
greedy-mean|SA,20.08108108108108,q25,2.615709232960119e-103,5.979605999036511,37
serene-noexpl|ALNS,20.7027027027027,q25,2.615709232960119e-103,5.979605999036511,37
greedy-mean|Tabu,21.324324324324323,q25,2.615709232960119e-103,5.979605999036511,37
serene-noexpl|SA,21.72972972972973,q25,2.615709232960119e-103,5.979605999036511,37
serene-noexpl|Tabu,22.18918918918919,q25,2.615709232960119e-103,5.979605999036511,37
serene-noctx|ALNS,6.04054054054054,q50,2.556896863792006e-108,5.979605999036511,37
