host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene-full,greedy-mean,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
ALNS,auc,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
ALNS,auc,serene-full,roulette,serene-full,5.788315320387483e-07,2.8941576601937413e-06,True
ALNS,auc,serene-full,serene-nogate,serene-full,5.5704484111629426e-05,0.0002228179364465177,True
ALNS,auc,serene-full,uniform,serene-full,0.0004950371658196673,0.0014851114974590018,True
ALNS,auc,serene-full,serene-plainTS,serene-full,0.10374933354614768,0.20749866709229536,False
ALNS,auc,serene-full,serene-noctx,serene-noctx,0.12112347882066388,0.20749866709229536,False
SA,auc,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
SA,auc,serene-full,greedy-mean,serene-full,1.0186340659856796e-10,6.111804395914078e-10,True
SA,auc,serene-full,uniform,serene-full,1.8866558093577623e-07,9.433279046788812e-07,True
SA,auc,serene-full,roulette,serene-full,2.2185558918863535e-06,8.874223567545414e-06,True
SA,auc,serene-full,serene-plainTS,serene-full,3.400965943001211e-05,0.00010202897829003632,True
SA,auc,serene-full,serene-nogate,serene-full,0.0006844939780421555,0.001368987956084311,True
SA,auc,serene-full,serene-noctx,serene-full,0.009171640980639495,0.009171640980639495,True
Tabu,auc,serene-full,greedy-mean,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
Tabu,auc,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
Tabu,auc,serene-full,roulette,serene-full,2.158049028366804e-08,1.079024514183402e-07,True
Tabu,auc,serene-full,uniform,serene-full,3.456079866737127e-08,1.382431946694851e-07,True
Tabu,auc,serene-full,serene-nogate,serene-full,1.8866558093577623e-07,5.659967428073287e-07,True
Tabu,auc,serene-full,serene-plainTS,serene-full,0.000996397517155856,0.001992795034311712,True
Tabu,auc,serene-full,serene-noctx,serene-noctx,0.2363829233654542,0.2363829233654542,False
ALNS,q25,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
ALNS,q25,serene-full,greedy-mean,serene-full,1.680295787277147e-07,1.0081774723662883e-06,True
ALNS,q25,serene-full,serene-nogate,serene-full,0.0005482570136140146,0.0027412850680700726,True
ALNS,q25,serene-full,uniform,serene-full,0.037511670521472626,0.1500466820858905,False
ALNS,q25,serene-full,serene-plainTS,serene-full,0.14380917011939134,0.43142751035817406,False
ALNS,q25,serene-full,roulette,serene-full,0.19677758436521786,0.43142751035817406,False
ALNS,q25,serene-full,serene-noctx,serene-noctx,0.9795406743609374,0.9795406743609374,False
SA,q25,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
SA,q25,serene-full,greedy-mean,serene-full,4.3655745685100555e-11,2.6193447411060333e-10,True
SA,q25,serene-full,roulette,serene-full,0.00020915378477376445,0.0010457689238688222,True
SA,q25,serene-full,uniform,serene-full,0.0013479328918037936,0.0053917315672151744,True
SA,q25,serene-full,serene-plainTS,serene-full,0.0031410295159242513,0.009423088547772754,True
SA,q25,serene-full,serene-nogate,serene-full,0.005466370321889027,0.010932740643778053,True
SA,q25,serene-full,serene-noctx,serene-noctx,0.911515362240707,0.911515362240707,False
Tabu,q25,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
Tabu,q25,serene-full,greedy-mean,serene-full,1.680295787277147e-07,1.0081774723662883e-06,True
Tabu,q25,serene-full,uniform,serene-full,2.148881321772933e-07,1.0744406608864665e-06,True
Tabu,q25,serene-full,serene-plainTS,serene-full,4.551751771941781e-06,1.8207007087767124e-05,True
Tabu,q25,serene-full,roulette,serene-full,1.080476795323193e-05,3.241430385969579e-05,True
Tabu,q25,serene-full,serene-nogate,serene-full,1.2985517969354987e-05,3.241430385969579e-05,True
Tabu,q25,serene-full,serene-noctx,serene-full,0.5505061472379065,0.5505061472379065,False
ALNS,q50,serene-full,greedy-mean,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
ALNS,q50,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
ALNS,q50,serene-full,serene-noctx,serene-noctx,0.03143608436149796,0.1571804218074898,False
ALNS,q50,serene-full,roulette,roulette,0.1504502624314629,0.6018010497258516,False
