config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene-noctx|ALNS,1.8333333333333333,auc,3.45425919606296e-40,10.499843064054962,12
serene-full|ALNS,3.0,auc,3.45425919606296e-40,10.499843064054962,12
serene-noctx|SA,3.6666666666666665,auc,3.45425919606296e-40,10.499843064054962,12
serene-full|SA,5.166666666666667,auc,3.45425919606296e-40,10.499843064054962,12
serene-full|Tabu,5.666666666666667,auc,3.45425919606296e-40,10.499843064054962,12
serene-noctx|Tabu,5.916666666666667,auc,3.45425919606296e-40,10.499843064054962,12
uniform|ALNS,6.0,auc,3.45425919606296e-40,10.499843064054962,12
serene-plainTS|ALNS,8.5,auc,3.45425919606296e-40,10.499843064054962,12
serene-nogate|ALNS,8.833333333333334,auc,3.45425919606296e-40,10.499843064054962,12
roulette|ALNS,9.25,auc,3.45425919606296e-40,10.499843064054962,12
serene-plainTS|SA,10.583333333333334,auc,3.45425919606296e-40,10.499843064054962,12
uniform|SA,11.333333333333334,auc,3.45425919606296e-40,10.499843064054962,12
serene-nogate|SA,13.25,auc,3.45425919606296e-40,10.499843064054962,12
roulette|SA,13.5,auc,3.45425919606296e-40,10.499843064054962,12
greedy-mean|ALNS,16.333333333333332,auc,3.45425919606296e-40,10.499843064054962,12
uniform|Tabu,16.75,auc,3.45425919606296e-40,10.499843064054962,12
serene-plainTS|Tabu,17.166666666666668,auc,3.45425919606296e-40,10.499843064054962,12
serene-nogate|Tabu,17.5,auc,3.45425919606296e-40,10.499843064054962,12
serene-noexpl|ALNS,18.416666666666668,auc,3.45425919606296e-40,10.499843064054962,12
roulette|Tabu,19.083333333333332,auc,3.45425919606296e-40,10.499843064054962,12
greedy-mean|SA,20.416666666666668,auc,3.45425919606296e-40,10.499843064054962,12
serene-noexpl|SA,21.416666666666668,auc,3.45425919606296e-40,10.499843064054962,12
serene-noexpl|Tabu,22.583333333333332,auc,3.45425919606296e-40,10.499843064054962,12
greedy-mean|Tabu,23.833333333333332,auc,3.45425919606296e-40,10.499843064054962,12
serene-noctx|ALNS,3.75,q25,2.6386476217247444e-36,10.499843064054962,12
serene-full|ALNS,4.333333333333333,q25,2.6386476217247444e-36,10.499843064054962,12
