instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host,g25,g50,g75,g100
cap111,serene-full|ALNS,0,831019.75,500,499,0.0059253009231268,0.0692893638989895,57,834385.9596033184,831019.75,831019.75,831019.75,831019.75,serene-full,ALNS,0.0059253009231268,0.0059253009231268,0.0059253009231268,0.0059253009231268
cap111,serene-full|ALNS,1,836445.525,500,499,0.0124930441682376,0.1197021571366124,501,834385.9596033184,841088.45,837768.7125,836445.525,836445.525,serene-full,ALNS,0.0181131701974788,0.0140947242535969,0.0124930441682376,0.0124930441682376
cap111,serene-full|ALNS,2,831965.95,500,499,0.0070706485754943,0.1063332733242994,485,834385.9596033184,841714.225,840576.2625,840576.2625,831965.95,serene-full,ALNS,0.0188706526823236,0.0174931820864061,0.0174931820864061,0.0070706485754943
cap111,serene-full|ALNS,3,838750.075,500,499,0.0152826350922106,0.1207200063479975,501,834385.9596033184,850105.1875,840072.3125,838844.3125,838750.075,serene-full,ALNS,0.0290276693812014,0.0168831652301277,0.0153967068522931,0.0152826350922106
cap111,serene-full|ALNS,4,828523.5,500,499,0.0029036627100407,0.056599405616662,76,834385.9596033184,831784.6375,831784.6375,828523.5,828523.5,serene-full,ALNS,0.0068511750538076,0.0068511750538076,0.0029036627100407,0.0029036627100407
cap111,serene-noctx|ALNS,0,836445.525,500,499,0.0124930441682376,0.1184657320611269,501,834385.9596033184,848559.85,839116.0625,836445.525,836445.525,serene-noctx,ALNS,0.0271570831650311,0.0157256523442936,0.0124930441682376,0.0124930441682376
cap111,serene-noctx|ALNS,1,828429.2625,500,499,0.0027895909499582,0.0736923598263291,177,834385.9596033184,837385.5875,832257.0375,832257.0375,828429.2625,serene-noctx,ALNS,0.0136309625548933,0.0074230015502971,0.0074230015502971,0.0027895909499582
cap111,serene-noctx|ALNS,2,832792.75,500,499,0.00807146599145,0.1086984457647601,472,834385.9596033184,844578.75,834950.9375,834950.9375,832792.75,serene-noctx,ALNS,0.0223380770998864,0.0106838893548972,0.0106838893548972,0.00807146599145
cap111,serene-noctx|ALNS,3,827092.5875,500,499,0.001171584637098,0.0655950549101711,76,834385.9596033184,827092.5875,827092.5875,827092.5875,827092.5875,serene-noctx,ALNS,0.001171584637098,0.001171584637098,0.001171584637098,0.001171584637098
cap111,serene-noctx|ALNS,4,826124.7125,500,499,2.598521398056164e-11,0.0788339194590961,245,834385.9596033184,847368.9875,833970.1,826124.7125,826124.7125,serene-noctx,ALNS,0.0257155786536515,0.0094966140135539,2.598521398056164e-11,2.598521398056164e-11
cap111,serene-nogate|ALNS,0,831210.225,500,499,0.0061558653852751,0.1193234264085159,309,834385.9596033184,848284.125,841050.0375,831210.225,831210.225,serene-nogate,ALNS,0.0268233260508385,0.0180666729805092,0.0061558653852751,0.0061558653852751
cap111,serene-nogate|ALNS,1,831481.975,500,499,0.0064848108772754,0.1051057920700088,119,834385.9596033184,831481.975,831481.975,831481.975,831481.975,serene-nogate,ALNS,0.0064848108772754,0.0064848108772754,0.0064848108772754,0.0064848108772754
cap111,serene-nogate|ALNS,2,829570.3125,500,499,0.0041707988750627,0.0943333729175039,133,834385.9596033184,835809.2375,831210.225,831210.225,829570.3125,serene-nogate,ALNS,0.0117228366070922,0.0061558653852751,0.0061558653852751,0.0041707988750627
cap111,serene-nogate|ALNS,3,833439.8625,500,499,0.0088547769010809,0.116606303199579,271,834385.9596033184,846449.0375,837051.7625,833439.8625,833439.8625,serene-nogate,ALNS,0.0246020058648168,0.0132268770760817,0.0088547769010809,0.0088547769010809
cap111,serene-nogate|ALNS,4,828811.4375,500,499,0.0032522027012196,0.1221325977139999,223,834385.9596033184,855431.825,831210.225,831210.225,828811.4375,serene-nogate,ALNS,0.0354754095583702,0.0061558653852751,0.0061558653852751,0.0032522027012196
cap111,serene-noexpl|ALNS,0,873027.3375,500,499,0.0567742670241036,0.2726208095627866,501,834385.9596033184,873027.3375,873027.3375,873027.3375,873027.3375,serene-noexpl,ALNS,0.0567742670241036,0.0567742670241036,0.0567742670241036,0.0567742670241036
cap111,serene-noexpl|ALNS,1,838261.725,500,499,0.0146915015834032,0.1309487563462689,501,834385.9596033184,846579.425,846579.425,846579.425,838261.725,serene-noexpl,ALNS,0.0247598361512499,0.0247598361512499,0.0247598361512499,0.0146915015834032
cap111,serene-noexpl|ALNS,2,836854.5625,500,499,0.0129881721965141,0.0975870890037633,501,834385.9596033184,846579.425,836854.5625,836854.5625,836854.5625,serene-noexpl,ALNS,0.0247598361512499,0.0129881721965141,0.0129881721965141,0.0129881721965141
cap111,serene-noexpl|ALNS,3,843294.475,500,499,0.0207834994669924,0.2184037723857338,501,834385.9596033184,869509.4125,843294.475,843294.475,843294.475,serene-noexpl,ALNS,0.0525159208605496,0.0207834994669924,0.0207834994669924,0.0207834994669924
cap111,serene-noexpl|ALNS,4,836791.1125,500,499,0.0129113678120895,0.1230170440354363,501,834385.9596033184,845875.8875,845875.8875,836791.1125,836791.1125,serene-noexpl,ALNS,0.0239082244159112,0.0239082244159112,0.0129113678120895,0.0129113678120895
cap111,serene-plainTS|ALNS,0,831481.975,500,499,0.0064848108772754,0.091387668673706,111,834385.9596033184,832906.3625,831659.425,831481.975,831481.975,serene-plainTS,ALNS,0.008208990626997,0.0066996089547566,0.0064848108772754,0.0064848108772754
cap111,serene-plainTS|ALNS,1,831019.75,500,499,0.0059253009231268,0.0968750850522281,184,834385.9596033184,848259.225,831019.75,831019.75,831019.75,serene-plainTS,ALNS,0.0267931853231446,0.0059253009231268,0.0059253009231268,0.0059253009231268
cap111,serene-plainTS|ALNS,2,833970.1,500,499,0.0094966140135539,0.1369162227886929,307,834385.9596033184,846904.825,838379.5,833970.1,833970.1,serene-plainTS,ALNS,0.0251537234119563,0.0148340648044533,0.0094966140135539,0.0094966140135539
cap111,serene-plainTS|ALNS,3,828523.5,500,499,0.0029036627100407,0.144845431901714,244,834385.9596033184,856995.8125,834302.6125,828523.5,828523.5,serene-plainTS,ALNS,0.0373685710585363,0.009899110749189,0.0029036627100407,0.0029036627100407
cap111,serene-plainTS|ALNS,4,832964.175,500,499,0.0082789709812061,0.1122286093833933,142,834385.9596033184,838140.35,832964.175,832964.175,832964.175,serene-plainTS,ALNS,0.0145445806667829,0.0082789709812061,0.0082789709812061,0.0082789709812061
cap111,roulette|ALNS,0,833776.025,500,499,0.0092616918558356,0.1101061221809554,455,834385.9596033184,835761.5625,835710.1625,835593.0875,833776.025,roulette,ALNS,0.0116651274025618,0.0116029091935874,0.0114611933022317,0.0092616918558356
cap111,roulette|ALNS,1,831210.225,500,499,0.0061558653852751,0.1135044755909262,375,834385.9596033184,843278.0875,839042.425,831481.975,831210.225,roulette,ALNS,0.0207636628736156,0.0156365162866407,0.0064848108772754,0.0061558653852751
cap111,roulette|ALNS,2,831210.225,500,499,0.0061558653852751,0.0971189174359624,265,834385.9596033184,834652.675,834652.675,831210.225,831210.225,roulette,ALNS,0.0103228512507287,0.0103228512507287,0.0061558653852751,0.0061558653852751
cap111,roulette|ALNS,3,829333.5875,500,499,0.0038842501295472,0.0883311702039616,204,834385.9596033184,842051.825,831408.3375,830122.2125,829333.5875,roulette,ALNS,0.0192793076891291,0.0063956748196227,0.0048388578153941,0.0038842501295472
cap111,roulette|ALNS,4,830285.05,500,499,0.0050359678855087,0.1038458597702738,122,834385.9596033184,831965.95,830285.05,830285.05,830285.05,roulette,ALNS,0.0070706485754943,0.0050359678855087,0.0050359678855087,0.0050359678855087
cap111,uniform|ALNS,0,830255.45,500,499,0.0050001379441535,0.0829374669978767,106,834385.9596033184,831019.75,831019.75,830255.45,830255.45,uniform,ALNS,0.0059253009231268,0.0059253009231268,0.0050001379441535,0.0050001379441535
cap111,uniform|ALNS,1,831019.75,500,499,0.0059253009231268,0.065079671418209,66,834385.9596033184,831019.75,831019.75,831019.75,831019.75,uniform,ALNS,0.0059253009231268,0.0059253009231268,0.0059253009231268,0.0059253009231268
cap111,uniform|ALNS,2,831568.4625,500,499,0.0065895014871721,0.1384595802255765,349,834385.9596033184,850104.55,844152.5875,831568.4625,831568.4625,uniform,ALNS,0.0290268977059442,0.0218222197558766,0.0065895014871721,0.0065895014871721
cap111,uniform|ALNS,3,829779.3125,500,499,0.0044237873123325,0.1211911862991851,296,834385.9596033184,838416.6,838416.6,829779.3125,829779.3125,uniform,ALNS,0.0148789732782461,0.0148789732782461,0.0044237873123325,0.0044237873123325
