host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
ALNS,auc,serene-full,roulette,serene-full,0.00048828125,0.00341796875,True
ALNS,auc,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
ALNS,auc,serene-full,serene-nogate,serene-full,0.00048828125,0.00341796875,True
ALNS,auc,serene-full,serene-plainTS,serene-full,0.0009765625,0.00341796875,True
ALNS,auc,serene-full,uniform,serene-full,0.0068359375,0.013671875,True
ALNS,auc,serene-full,serene-noctx,serene-noctx,0.38037109375,0.38037109375,False
SA,auc,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
SA,auc,serene-full,roulette,serene-full,0.00048828125,0.00341796875,True
SA,auc,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
SA,auc,serene-full,serene-nogate,serene-full,0.0009765625,0.00390625,True
SA,auc,serene-full,serene-plainTS,serene-full,0.0009765625,0.00390625,True
SA,auc,serene-full,uniform,serene-full,0.0009765625,0.00390625,True
SA,auc,serene-full,serene-noctx,serene-noctx,0.6220703125,0.6220703125,False
Tabu,auc,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
Tabu,auc,serene-full,roulette,serene-full,0.00048828125,0.00341796875,True
Tabu,auc,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
Tabu,auc,serene-full,serene-nogate,serene-full,0.00048828125,0.00341796875,True
Tabu,auc,serene-full,serene-plainTS,serene-full,0.00048828125,0.00341796875,True
Tabu,auc,serene-full,uniform,serene-full,0.00048828125,0.00341796875,True
Tabu,auc,serene-full,serene-noctx,serene-full,0.9697265625,0.9697265625,False
ALNS,q25,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
ALNS,q25,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
ALNS,q25,serene-full,serene-nogate,serene-full,0.02099609375,0.10498046875,False
ALNS,q25,serene-full,serene-plainTS,serene-full,0.33935546875,1.0,False
ALNS,q25,serene-full,uniform,serene-full,0.423828125,1.0,False
ALNS,q25,serene-full,serene-noctx,serene-noctx,0.90966796875,1.0,False
ALNS,q25,serene-full,roulette,serene-full,1.0,1.0,False
SA,q25,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
SA,q25,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
SA,q25,serene-full,roulette,serene-full,0.00927734375,0.04638671875,True
SA,q25,serene-full,serene-plainTS,serene-full,0.0341796875,0.13671875,False
SA,q25,serene-full,uniform,serene-full,0.05224609375,0.15673828125,False
SA,q25,serene-full,serene-noctx,serene-noctx,0.06396484375,0.15673828125,False
SA,q25,serene-full,serene-nogate,serene-full,0.12939453125,0.15673828125,False
Tabu,q25,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
Tabu,q25,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
Tabu,q25,serene-full,serene-plainTS,serene-full,0.00048828125,0.00341796875,True
Tabu,q25,serene-full,uniform,serene-full,0.00048828125,0.00341796875,True
Tabu,q25,serene-full,roulette,serene-full,0.0009765625,0.00341796875,True
Tabu,q25,serene-full,serene-nogate,serene-full,0.00244140625,0.0048828125,True
Tabu,q25,serene-full,serene-noctx,serene-noctx,0.9697265625,0.9697265625,False
ALNS,q50,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
ALNS,q50,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
ALNS,q50,serene-full,roulette,roulette,0.20361328125,1.0,False
ALNS,q50,serene-full,serene-noctx,serene-noctx,0.26611328125,1.0,False
ALNS,q50,serene-full,serene-plainTS,serene-plainTS,0.33935546875,1.0,False
