host,selector,g25,g50,g75,g100,auc
ALNS,exp3,0.7364514085521929,0.3046985888595214,0.20873285858656873,0.15965826879266873,0.06645168059087975
ALNS,greedy-mean,1.7815291939542157,1.1672599702773787,0.984363404902676,0.8757488726360318,0.13417341941810768
ALNS,roulette,0.537910176331596,0.2502542698278427,0.161671814971433,0.1154311216269706,0.06325851156237033
ALNS,serene,0.47669304528168194,0.3413320246447399,0.2619092377091004,0.15584985358558776,0.054182211001363424
ALNS,ucb1,0.621734384129545,0.2594743224658713,0.17180790561308018,0.1351299604091635,0.05591178948743291
ALNS,uniform,0.6771835619379892,0.3088329379730253,0.1989912840894878,0.15775690317933067,0.05992071210735186
LS,exp3,0.652840161449425,0.3982571631464705,0.2933269579056415,0.2758463554567309,0.05647327592941166
LS,greedy-mean,1.433459616368748,1.047624962282324,0.91229682436379,0.790808815814773,0.09469298235330967
LS,roulette,0.6102567998106553,0.3194240367954982,0.274406005761903,0.2271061996771222,0.05211154428305254
LS,serene,0.6263840851654119,0.40418743567160653,0.281509413418691,0.23908294314191134,0.05225693910590956
LS,ucb1,0.6152417646430152,0.41337120158138047,0.30515030402484333,0.24437529433733604,0.05596314904314711
LS,uniform,0.7843875079681784,0.44743487269897103,0.3422005320519206,0.2941446811656367,0.05822737663280387
SA,exp3,1.1086803517441342,0.26602339580255774,0.14622462172939227,0.1175716805948335,0.07025271898159335
SA,greedy-mean,2.74688030449845,1.2526999777236183,0.87971364666318,0.7331220101434416,0.15615834198048584
SA,roulette,1.1672223669450932,0.3457279227384061,0.2105721280953177,0.16122095056635524,0.07492193862508835
SA,serene,0.664584711621159,0.2514911096483301,0.1604354888162582,0.1148409469564757,0.05789592220157931
SA,ucb1,0.8288668845460546,0.25530028699423996,0.160851250693511,0.12909520233820568,0.06406038773797124
SA,uniform,0.9832196542080581,0.29662281394246376,0.17157215453746524,0.13950501587582362,0.075556350228873
Tabu,exp3,1.6545027317622987,0.9191891965547557,0.6768047563834512,0.48675204878261713,0.10138423303822207
Tabu,greedy-mean,3.5094781238221477,3.0359708426360212,2.9479335304945407,2.8598506907214416,0.1933911550736026
Tabu,roulette,1.4374431037452962,0.8208087563607225,0.6187466474133119,0.4864977924127156,0.09880381162105342
Tabu,serene,0.7115542435629744,0.3470577160078797,0.27438792565007997,0.22563609799726875,0.05995598791223055
Tabu,ucb1,1.6790744098059251,0.9175177929824277,0.6978605281874212,0.6007512223274226,0.09327302485240535
Tabu,uniform,1.6458589865756854,0.9271552619022754,0.7273863358801321,0.6163043530946514,0.09248464273813232
