config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene|ALNS,4.5675675675675675,auc,1.3673360321242998e-97,5.979605999036511,37
serene|LS,5.081081081081081,auc,1.3673360321242998e-97,5.979605999036511,37
roulette|LS,6.4324324324324325,auc,1.3673360321242998e-97,5.979605999036511,37
ucb1|LS,7.0,auc,1.3673360321242998e-97,5.979605999036511,37
serene|SA,7.081081081081081,auc,1.3673360321242998e-97,5.979605999036511,37
ucb1|ALNS,7.972972972972973,auc,1.3673360321242998e-97,5.979605999036511,37
uniform|LS,8.108108108108109,auc,1.3673360321242998e-97,5.979605999036511,37
uniform|ALNS,8.135135135135135,auc,1.3673360321242998e-97,5.979605999036511,37
exp3|LS,8.162162162162161,auc,1.3673360321242998e-97,5.979605999036511,37
serene|Tabu,8.81081081081081,auc,1.3673360321242998e-97,5.979605999036511,37
roulette|ALNS,10.243243243243244,auc,1.3673360321242998e-97,5.979605999036511,37
ucb1|SA,10.486486486486486,auc,1.3673360321242998e-97,5.979605999036511,37
exp3|ALNS,11.81081081081081,auc,1.3673360321242998e-97,5.979605999036511,37
exp3|SA,13.91891891891892,auc,1.3673360321242998e-97,5.979605999036511,37
roulette|SA,14.35135135135135,auc,1.3673360321242998e-97,5.979605999036511,37
uniform|SA,14.405405405405405,auc,1.3673360321242998e-97,5.979605999036511,37
greedy-mean|LS,16.56756756756757,auc,1.3673360321242998e-97,5.979605999036511,37
uniform|Tabu,16.864864864864863,auc,1.3673360321242998e-97,5.979605999036511,37
ucb1|Tabu,18.054054054054053,auc,1.3673360321242998e-97,5.979605999036511,37
roulette|Tabu,18.10810810810811,auc,1.3673360321242998e-97,5.979605999036511,37
exp3|Tabu,19.405405405405407,auc,1.3673360321242998e-97,5.979605999036511,37
greedy-mean|ALNS,20.027027027027028,auc,1.3673360321242998e-97,5.979605999036511,37
greedy-mean|SA,21.10810810810811,auc,1.3673360321242998e-97,5.979605999036511,37
greedy-mean|Tabu,23.2972972972973,auc,1.3673360321242998e-97,5.979605999036511,37
serene|ALNS,5.5,q25,8.983952894550009e-82,5.979605999036511,37
roulette|LS,6.135135135135135,q25,8.983952894550009e-82,5.979605999036511,37
ucb1|LS,7.148648648648648,q25,8.983952894550009e-82,5.979605999036511,37
serene|LS,7.743243243243243,q25,8.983952894550009e-82,5.979605999036511,37
ucb1|ALNS,7.743243243243243,q25,8.983952894550009e-82,5.979605999036511,37
exp3|LS,7.77027027027027,q25,8.983952894550009e-82,5.979605999036511,37
roulette|ALNS,7.878378378378378,q25,8.983952894550009e-82,5.979605999036511,37
serene|SA,8.378378378378379,q25,8.983952894550009e-82,5.979605999036511,37
uniform|ALNS,8.756756756756756,q25,8.983952894550009e-82,5.979605999036511,37
exp3|ALNS,9.77027027027027,q25,8.983952894550009e-82,5.979605999036511,37
uniform|LS,10.256756756756756,q25,8.983952894550009e-82,5.979605999036511,37
serene|Tabu,10.283783783783784,q25,8.983952894550009e-82,5.979605999036511,37
ucb1|SA,11.391891891891891,q25,8.983952894550009e-82,5.979605999036511,37
exp3|SA,13.567567567567568,q25,8.983952894550009e-82,5.979605999036511,37
uniform|SA,13.635135135135135,q25,8.983952894550009e-82,5.979605999036511,37
roulette|SA,14.04054054054054,q25,8.983952894550009e-82,5.979605999036511,37
roulette|Tabu,16.18918918918919,q25,8.983952894550009e-82,5.979605999036511,37
greedy-mean|LS,17.027027027027028,q25,8.983952894550009e-82,5.979605999036511,37
uniform|Tabu,17.14864864864865,q25,8.983952894550009e-82,5.979605999036511,37
