host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene,greedy-mean,serene,1.4551915228366852e-11,7.275957614183426e-11,True
ALNS,auc,serene,exp3,serene,2.148881321772933e-07,8.595525287091732e-07,True
ALNS,auc,serene,roulette,serene,5.788315320387483e-07,1.7364945961162448e-06,True
ALNS,auc,serene,uniform,serene,0.0004950371658196673,0.0009900743316393346,True
ALNS,auc,serene,ucb1,serene,0.006211990053998306,0.006211990053998306,True
LS,auc,serene,greedy-mean,serene,1.7184307319455218e-07,8.592153659727609e-07,True
LS,auc,serene,uniform,serene,0.004457827734739697,0.01783131093895879,True
LS,auc,serene,ucb1,serene,0.012008232665803618,0.03602469799741086,True
LS,auc,serene,exp3,serene,0.024106238617381842,0.048212477234763684,True
LS,auc,serene,roulette,roulette,0.3380664038104998,0.3380664038104998,False
SA,auc,serene,greedy-mean,serene,1.0186340659856796e-10,5.093170329928398e-10,True
SA,auc,serene,uniform,serene,1.8866558093577623e-07,7.546623237431049e-07,True
SA,auc,serene,roulette,serene,2.2185558918863535e-06,6.6556676756590605e-06,True
SA,auc,serene,exp3,serene,4.0184197132475674e-05,8.036839426495135e-05,True
SA,auc,serene,ucb1,serene,0.012130871502449736,0.012130871502449736,True
Tabu,auc,serene,greedy-mean,serene,1.4551915228366852e-11,7.275957614183426e-11,True
Tabu,auc,serene,exp3,serene,2.459273673593998e-09,9.837094694375992e-09,True
Tabu,auc,serene,roulette,serene,2.158049028366804e-08,6.474147085100412e-08,True
Tabu,auc,serene,uniform,serene,3.456079866737127e-08,6.912159733474255e-08,True
Tabu,auc,serene,ucb1,serene,1.0323856258764863e-06,1.0323856258764863e-06,True
ALNS,q25,serene,greedy-mean,serene,1.680295787277147e-07,8.401478936385735e-07,True
ALNS,q25,serene,exp3,serene,0.007205815854831599,0.028823263419326395,True
ALNS,q25,serene,ucb1,serene,0.01534582286114023,0.04603746858342069,True
ALNS,q25,serene,uniform,serene,0.037511670521472626,0.07502334104294525,False
ALNS,q25,serene,roulette,serene,0.19677758436521786,0.19677758436521786,False
LS,q25,serene,greedy-mean,serene,3.5058883953076656e-07,1.7529441976538327e-06,True
LS,q25,serene,uniform,serene,0.013489344998393648,0.05395737999357459,False
