config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene|ALNS,2.6666666666666665,auc,3.5133501500854417e-38,10.499843064054962,12
serene|LS,3.3333333333333335,auc,3.5133501500854417e-38,10.499843064054962,12
serene|SA,5.0,auc,3.5133501500854417e-38,10.499843064054962,12
serene|Tabu,5.25,auc,3.5133501500854417e-38,10.499843064054962,12
uniform|ALNS,6.25,auc,3.5133501500854417e-38,10.499843064054962,12
roulette|LS,6.333333333333333,auc,3.5133501500854417e-38,10.499843064054962,12
uniform|LS,6.416666666666667,auc,3.5133501500854417e-38,10.499843064054962,12
ucb1|LS,7.416666666666667,auc,3.5133501500854417e-38,10.499843064054962,12
ucb1|ALNS,7.583333333333333,auc,3.5133501500854417e-38,10.499843064054962,12
exp3|LS,9.416666666666666,auc,3.5133501500854417e-38,10.499843064054962,12
roulette|ALNS,11.083333333333334,auc,3.5133501500854417e-38,10.499843064054962,12
ucb1|SA,11.833333333333334,auc,3.5133501500854417e-38,10.499843064054962,12
exp3|ALNS,12.0,auc,3.5133501500854417e-38,10.499843064054962,12
uniform|SA,12.666666666666666,auc,3.5133501500854417e-38,10.499843064054962,12
roulette|SA,15.0,auc,3.5133501500854417e-38,10.499843064054962,12
exp3|SA,16.083333333333332,auc,3.5133501500854417e-38,10.499843064054962,12
greedy-mean|LS,16.416666666666668,auc,3.5133501500854417e-38,10.499843064054962,12
greedy-mean|ALNS,18.083333333333332,auc,3.5133501500854417e-38,10.499843064054962,12
uniform|Tabu,18.25,auc,3.5133501500854417e-38,10.499843064054962,12
ucb1|Tabu,20.416666666666668,auc,3.5133501500854417e-38,10.499843064054962,12
roulette|Tabu,21.083333333333332,auc,3.5133501500854417e-38,10.499843064054962,12
exp3|Tabu,21.5,auc,3.5133501500854417e-38,10.499843064054962,12
greedy-mean|SA,21.916666666666668,auc,3.5133501500854417e-38,10.499843064054962,12
greedy-mean|Tabu,24.0,auc,3.5133501500854417e-38,10.499843064054962,12
serene|ALNS,4.166666666666667,q25,1.4871800474003302e-32,10.499843064054962,12
roulette|ALNS,5.0,q25,1.4871800474003302e-32,10.499843064054962,12
ucb1|LS,6.583333333333333,q25,1.4871800474003302e-32,10.499843064054962,12
uniform|ALNS,6.75,q25,1.4871800474003302e-32,10.499843064054962,12
roulette|LS,6.833333333333333,q25,1.4871800474003302e-32,10.499843064054962,12
serene|LS,6.916666666666667,q25,1.4871800474003302e-32,10.499843064054962,12
ucb1|ALNS,7.166666666666667,q25,1.4871800474003302e-32,10.499843064054962,12
serene|SA,7.416666666666667,q25,1.4871800474003302e-32,10.499843064054962,12
exp3|LS,7.75,q25,1.4871800474003302e-32,10.499843064054962,12
serene|Tabu,7.916666666666667,q25,1.4871800474003302e-32,10.499843064054962,12
uniform|LS,9.75,q25,1.4871800474003302e-32,10.499843064054962,12
exp3|ALNS,10.166666666666666,q25,1.4871800474003302e-32,10.499843064054962,12
ucb1|SA,10.5,q25,1.4871800474003302e-32,10.499843064054962,12
uniform|SA,12.25,q25,1.4871800474003302e-32,10.499843064054962,12
roulette|SA,15.0,q25,1.4871800474003302e-32,10.499843064054962,12
exp3|SA,15.0,q25,1.4871800474003302e-32,10.499843064054962,12
greedy-mean|LS,17.166666666666668,q25,1.4871800474003302e-32,10.499843064054962,12
roulette|Tabu,17.416666666666668,q25,1.4871800474003302e-32,10.499843064054962,12
greedy-mean|ALNS,19.416666666666668,q25,1.4871800474003302e-32,10.499843064054962,12
uniform|Tabu,19.916666666666668,q25,1.4871800474003302e-32,10.499843064054962,12
exp3|Tabu,20.166666666666668,q25,1.4871800474003302e-32,10.499843064054962,12
ucb1|Tabu,20.166666666666668,q25,1.4871800474003302e-32,10.499843064054962,12
greedy-mean|SA,23.0,q25,1.4871800474003302e-32,10.499843064054962,12
greedy-mean|Tabu,23.583333333333332,q25,1.4871800474003302e-32,10.499843064054962,12
roulette|ALNS,4.625,q50,4.075233021495583e-30,10.499843064054962,12
serene|SA,5.0,q50,4.075233021495583e-30,10.499843064054962,12
ucb1|SA,6.166666666666667,q50,4.075233021495583e-30,10.499843064054962,12
ucb1|ALNS,6.5,q50,4.075233021495583e-30,10.499843064054962,12
serene|ALNS,7.25,q50,4.075233021495583e-30,10.499843064054962,12
exp3|ALNS,7.5,q50,4.075233021495583e-30,10.499843064054962,12
exp3|SA,8.25,q50,4.075233021495583e-30,10.499843064054962,12
uniform|SA,8.416666666666666,q50,4.075233021495583e-30,10.499843064054962,12
uniform|ALNS,8.916666666666666,q50,4.075233021495583e-30,10.499843064054962,12
serene|Tabu,9.791666666666666,q50,4.075233021495583e-30,10.499843064054962,12
roulette|LS,9.833333333333334,q50,4.075233021495583e-30,10.499843064054962,12
roulette|SA,10.083333333333334,q50,4.075233021495583e-30,10.499843064054962,12
serene|LS,10.25,q50,4.075233021495583e-30,10.499843064054962,12
exp3|LS,11.0,q50,4.075233021495583e-30,10.499843064054962,12
ucb1|LS,11.666666666666666,q50,4.075233021495583e-30,10.499843064054962,12
uniform|LS,12.083333333333334,q50,4.075233021495583e-30,10.499843064054962,12
roulette|Tabu,18.416666666666668,q50,4.075233021495583e-30,10.499843064054962,12
exp3|Tabu,19.583333333333332,q50,4.075233021495583e-30,10.499843064054962,12
ucb1|Tabu,19.916666666666668,q50,4.075233021495583e-30,10.499843064054962,12
greedy-mean|LS,20.083333333333332,q50,4.075233021495583e-30,10.499843064054962,12
uniform|Tabu,20.083333333333332,q50,4.075233021495583e-30,10.499843064054962,12
greedy-mean|SA,20.25,q50,4.075233021495583e-30,10.499843064054962,12
greedy-mean|ALNS,20.333333333333332,q50,4.075233021495583e-30,10.499843064054962,12
greedy-mean|Tabu,24.0,q50,4.075233021495583e-30,10.499843064054962,12
ucb1|ALNS,4.708333333333333,q75,1.0827094207520408e-31,10.499843064054962,12
roulette|ALNS,4.833333333333333,q75,1.0827094207520408e-31,10.499843064054962,12
serene|SA,5.375,q75,1.0827094207520408e-31,10.499843064054962,12
exp3|SA,5.916666666666667,q75,1.0827094207520408e-31,10.499843064054962,12
ucb1|SA,6.333333333333333,q75,1.0827094207520408e-31,10.499843064054962,12
uniform|SA,6.75,q75,1.0827094207520408e-31,10.499843064054962,12
exp3|ALNS,8.0,q75,1.0827094207520408e-31,10.499843064054962,12
uniform|ALNS,8.083333333333334,q75,1.0827094207520408e-31,10.499843064054962,12
roulette|SA,8.708333333333334,q75,1.0827094207520408e-31,10.499843064054962,12
serene|ALNS,9.0,q75,1.0827094207520408e-31,10.499843064054962,12
serene|Tabu,10.916666666666666,q75,1.0827094207520408e-31,10.499843064054962,12
serene|LS,10.958333333333334,q75,1.0827094207520408e-31,10.499843064054962,12
exp3|LS,11.666666666666666,q75,1.0827094207520408e-31,10.499843064054962,12
uniform|LS,11.958333333333334,q75,1.0827094207520408e-31,10.499843064054962,12
roulette|LS,12.041666666666666,q75,1.0827094207520408e-31,10.499843064054962,12
ucb1|LS,12.25,q75,1.0827094207520408e-31,10.499843064054962,12
roulette|Tabu,18.416666666666668,q75,1.0827094207520408e-31,10.499843064054962,12
greedy-mean|SA,18.833333333333332,q75,1.0827094207520408e-31,10.499843064054962,12
