host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,auc,serene,roulette,serene,0.00048828125,0.00244140625,True
ALNS,auc,serene,exp3,serene,0.0009765625,0.0029296875,True
ALNS,auc,serene,ucb1,serene,0.00244140625,0.0048828125,True
ALNS,auc,serene,uniform,serene,0.0068359375,0.0068359375,True
LS,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
LS,auc,serene,exp3,serene,0.0009765625,0.00390625,True
LS,auc,serene,uniform,serene,0.0009765625,0.00390625,True
LS,auc,serene,ucb1,serene,0.00146484375,0.00390625,True
LS,auc,serene,roulette,serene,0.00927734375,0.00927734375,True
SA,auc,serene,exp3,serene,0.00048828125,0.00244140625,True
SA,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,auc,serene,roulette,serene,0.00048828125,0.00244140625,True
SA,auc,serene,uniform,serene,0.0009765625,0.00244140625,True
SA,auc,serene,ucb1,serene,0.00341796875,0.00341796875,True
Tabu,auc,serene,exp3,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,roulette,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,ucb1,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,uniform,serene,0.00048828125,0.00244140625,True
ALNS,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,q25,serene,exp3,serene,0.02685546875,0.107421875,False
ALNS,q25,serene,ucb1,serene,0.05224609375,0.15673828125,False
ALNS,q25,serene,uniform,serene,0.423828125,0.84765625,False
ALNS,q25,serene,roulette,serene,1.0,1.0,False
LS,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
LS,q25,serene,uniform,serene,0.0732421875,0.29296875,False
LS,q25,serene,exp3,serene,0.5556640625,1.0,False
LS,q25,serene,ucb1,ucb1,0.6630859375,1.0,False
LS,q25,serene,roulette,serene,1.0,1.0,False
SA,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q25,serene,exp3,serene,0.00244140625,0.009765625,True
SA,q25,serene,roulette,serene,0.00927734375,0.02783203125,True
SA,q25,serene,uniform,serene,0.05224609375,0.1044921875,False
SA,q25,serene,ucb1,serene,0.2333984375,0.2333984375,False
Tabu,q25,serene,exp3,serene,0.00048828125,0.00244140625,True
Tabu,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q25,serene,ucb1,serene,0.00048828125,0.00244140625,True
Tabu,q25,serene,uniform,serene,0.00048828125,0.00244140625,True
Tabu,q25,serene,roulette,serene,0.0009765625,0.00244140625,True
ALNS,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,q50,serene,roulette,roulette,0.20361328125,0.814453125,False
ALNS,q50,serene,ucb1,ucb1,0.33935546875,1.0,False
ALNS,q50,serene,exp3,exp3,0.7333984375,1.0,False
ALNS,q50,serene,uniform,uniform,0.7333984375,1.0,False
LS,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
LS,q50,serene,uniform,serene,0.0615234375,0.24609375,False
LS,q50,serene,roulette,roulette,0.60888671875,1.0,False
LS,q50,serene,exp3,exp3,0.89453125,1.0,False
LS,q50,serene,ucb1,serene,0.95556640625,1.0,False
SA,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q50,serene,roulette,serene,0.01220703125,0.048828125,True
SA,q50,serene,exp3,serene,0.10986328125,0.32958984375,False
SA,q50,serene,uniform,serene,0.1513671875,0.32958984375,False
SA,q50,serene,ucb1,serene,0.38037109375,0.38037109375,False
Tabu,q50,serene,exp3,serene,0.00048828125,0.00244140625,True
Tabu,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q50,serene,roulette,serene,0.00048828125,0.00244140625,True
Tabu,q50,serene,ucb1,serene,0.00048828125,0.00244140625,True
