host,selector,g25,g50,g75,g100,auc
ALNS,exp3,0.4878676436466141,0.30509764171138376,0.20640257235482692,0.16814943664395554,0.06891938086785006
ALNS,greedy-mean,1.4181466087884733,1.0317817861601193,0.8661407728670594,0.8223707975676663,0.13986759309413438
ALNS,roulette,0.4601669488211472,0.2482046307878812,0.1835560800166648,0.14462027215811876,0.06379678814595327
ALNS,serene,0.37562479649143626,0.2561908587473017,0.19565131643396405,0.1541684331700098,0.05527362502293677
ALNS,ucb1,0.46259339420236983,0.24787696103198573,0.1935275711276467,0.16097023874868424,0.057427799110909436
ALNS,uniform,0.6824559308710569,0.2655595528346939,0.20883891858693512,0.177947964303445,0.06342030779570433
LS,exp3,0.4801281389635005,0.3254455689216487,0.17761816294337432,0.17302463318075917,0.053115108024782566
LS,greedy-mean,0.9218061213815317,0.6801325700276061,0.638608262628928,0.5607260872119377,0.09545548730726333
LS,roulette,0.3809684444661728,0.23247407676096035,0.21290982031184116,0.17244358351640446,0.05174692065288285
LS,serene,0.5046440824986733,0.3726114207620373,0.26336216489640757,0.20565017355668067,0.06318656046332131
LS,ucb1,0.5051817685848636,0.33906697851516154,0.2579067103680938,0.22463365152898349,0.06148604305339733
LS,uniform,0.6600278952733198,0.3537421798333724,0.32166793045843417,0.2845776398907756,0.0696167242955869
SA,exp3,0.7697309171197558,0.20790948804491355,0.1397788358728925,0.11682690511584401,0.07767331179605691
SA,greedy-mean,2.227320613660327,1.1910134363866869,0.7697894030056271,0.6032806317199609,0.1604507446589087
SA,roulette,0.9446085204706642,0.3170249686647996,0.21310031224759132,0.15377602105077867,0.08397181886375157
SA,serene,0.5248164110513902,0.27396049826050717,0.19839086248482538,0.1594745970390286,0.06206002425860301
SA,ucb1,0.7063561819111488,0.24202500491845527,0.15531515112249092,0.12872347992950828,0.06894475570199349
SA,uniform,0.8239924206006867,0.2995103550188988,0.18328791228429758,0.1608967452950314,0.08257660918548783
Tabu,exp3,1.1615172375805614,0.7030744883312168,0.4794633353654964,0.38250935849751266,0.10066207097866046
Tabu,greedy-mean,2.256654076885236,2.195929380659638,2.159584062315852,2.1441842019373554,0.19007082971786043
Tabu,roulette,1.1483669754544812,0.6573258840562574,0.5058935584619972,0.4207270414143616,0.1068567065391597
Tabu,serene,0.5613656633327939,0.3225766773989667,0.2804087256851649,0.20289262904562388,0.06937538146108602
Tabu,ucb1,1.2419662601896115,0.7257555932733412,0.5777816284827528,0.4848506785105178,0.11188104326032365
Tabu,uniform,1.100428715238177,0.6946115305116564,0.5501554820109086,0.46588618580459723,0.10866446798434876
