config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene|ALNS,4.25,auc,2.020307209498989e-31,10.499843064054962,12
roulette|LS,5.25,auc,2.020307209498989e-31,10.499843064054962,12
ucb1|ALNS,5.25,auc,2.020307209498989e-31,10.499843064054962,12
exp3|LS,5.916666666666667,auc,2.020307209498989e-31,10.499843064054962,12
serene|SA,6.5,auc,2.020307209498989e-31,10.499843064054962,12
ucb1|LS,6.75,auc,2.020307209498989e-31,10.499843064054962,12
serene|LS,6.916666666666667,auc,2.020307209498989e-31,10.499843064054962,12
roulette|ALNS,8.0,auc,2.020307209498989e-31,10.499843064054962,12
uniform|ALNS,9.083333333333334,auc,2.020307209498989e-31,10.499843064054962,12
ucb1|SA,9.333333333333334,auc,2.020307209498989e-31,10.499843064054962,12
exp3|ALNS,10.083333333333334,auc,2.020307209498989e-31,10.499843064054962,12
serene|Tabu,10.25,auc,2.020307209498989e-31,10.499843064054962,12
uniform|LS,10.416666666666666,auc,2.020307209498989e-31,10.499843064054962,12
exp3|SA,13.25,auc,2.020307209498989e-31,10.499843064054962,12
uniform|SA,14.666666666666666,auc,2.020307209498989e-31,10.499843064054962,12
greedy-mean|LS,15.166666666666666,auc,2.020307209498989e-31,10.499843064054962,12
roulette|SA,15.916666666666666,auc,2.020307209498989e-31,10.499843064054962,12
roulette|Tabu,18.333333333333332,auc,2.020307209498989e-31,10.499843064054962,12
ucb1|Tabu,19.25,auc,2.020307209498989e-31,10.499843064054962,12
exp3|Tabu,19.333333333333332,auc,2.020307209498989e-31,10.499843064054962,12
uniform|Tabu,19.666666666666668,auc,2.020307209498989e-31,10.499843064054962,12
greedy-mean|ALNS,20.25,auc,2.020307209498989e-31,10.499843064054962,12
greedy-mean|SA,22.916666666666668,auc,2.020307209498989e-31,10.499843064054962,12
greedy-mean|Tabu,23.25,auc,2.020307209498989e-31,10.499843064054962,12
roulette|LS,4.083333333333333,q25,5.382823175286932e-27,10.499843064054962,12
serene|ALNS,4.333333333333333,q25,5.382823175286932e-27,10.499843064054962,12
exp3|LS,6.0,q25,5.382823175286932e-27,10.499843064054962,12
ucb1|ALNS,6.833333333333333,q25,5.382823175286932e-27,10.499843064054962,12
roulette|ALNS,7.25,q25,5.382823175286932e-27,10.499843064054962,12
exp3|ALNS,7.583333333333333,q25,5.382823175286932e-27,10.499843064054962,12
