host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,auc,serene,exp3,serene,0.00244140625,0.009765625,True
ALNS,auc,serene,roulette,serene,0.00927734375,0.02783203125,True
ALNS,auc,serene,uniform,serene,0.02685546875,0.0537109375,False
ALNS,auc,serene,ucb1,serene,0.6220703125,0.6220703125,False
LS,auc,serene,greedy-mean,serene,0.00146484375,0.00732421875,True
LS,auc,serene,uniform,serene,0.1513671875,0.60546875,False
LS,auc,serene,roulette,roulette,0.2333984375,0.7001953125,False
LS,auc,serene,exp3,exp3,0.26611328125,0.7001953125,False
LS,auc,serene,ucb1,ucb1,0.9697265625,0.9697265625,False
SA,auc,serene,exp3,serene,0.00048828125,0.00244140625,True
SA,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,auc,serene,roulette,serene,0.00048828125,0.00244140625,True
SA,auc,serene,uniform,serene,0.00048828125,0.00244140625,True
SA,auc,serene,ucb1,serene,0.26611328125,0.26611328125,False
Tabu,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,uniform,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,exp3,serene,0.0009765625,0.0029296875,True
Tabu,auc,serene,roulette,serene,0.00244140625,0.0048828125,True
Tabu,auc,serene,ucb1,serene,0.00244140625,0.0048828125,True
ALNS,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,q25,serene,uniform,serene,0.02685546875,0.107421875,False
ALNS,q25,serene,roulette,serene,0.12939453125,0.38818359375,False
ALNS,q25,serene,exp3,serene,0.17626953125,0.38818359375,False
ALNS,q25,serene,ucb1,serene,0.17626953125,0.38818359375,False
LS,q25,serene,greedy-mean,serene,0.00244140625,0.01220703125,True
LS,q25,serene,roulette,roulette,0.02001953125,0.080078125,False
LS,q25,serene,uniform,serene,0.2255859375,0.6767578125,False
LS,q25,serene,exp3,exp3,0.60791015625,1.0,False
LS,q25,serene,ucb1,serene,0.662109375,1.0,False
SA,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q25,serene,roulette,serene,0.00048828125,0.00244140625,True
SA,q25,serene,uniform,serene,0.00244140625,0.00732421875,True
SA,q25,serene,exp3,serene,0.00927734375,0.0185546875,True
SA,q25,serene,ucb1,serene,0.17626953125,0.17626953125,False
Tabu,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q25,serene,ucb1,serene,0.0009765625,0.00390625,True
Tabu,q25,serene,exp3,serene,0.0048828125,0.0146484375,True
Tabu,q25,serene,uniform,serene,0.0068359375,0.0146484375,True
Tabu,q25,serene,roulette,serene,0.00927734375,0.0146484375,True
ALNS,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,q50,serene,exp3,serene,0.38037109375,1.0,False
ALNS,q50,serene,uniform,serene,0.791015625,1.0,False
ALNS,q50,serene,roulette,roulette,0.9697265625,1.0,False
ALNS,q50,serene,ucb1,ucb1,0.9697265625,1.0,False
LS,q50,serene,greedy-mean,serene,0.0048828125,0.0244140625,True
LS,q50,serene,roulette,roulette,0.00634765625,0.025390625,True
LS,q50,serene,exp3,exp3,0.353515625,1.0,False
LS,q50,serene,ucb1,ucb1,0.458984375,1.0,False
LS,q50,serene,uniform,uniform,0.5615234375,1.0,False
SA,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q50,serene,exp3,exp3,0.0771484375,0.30859375,False
SA,q50,serene,roulette,serene,0.17626953125,0.52880859375,False
SA,q50,serene,uniform,serene,0.33935546875,0.6787109375,False
SA,q50,serene,ucb1,ucb1,0.423828125,0.6787109375,False
Tabu,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q50,serene,uniform,serene,0.0009765625,0.00390625,True
Tabu,q50,serene,ucb1,serene,0.00244140625,0.00732421875,True
Tabu,q50,serene,exp3,serene,0.00341796875,0.00732421875,True
Tabu,q50,serene,roulette,serene,0.0048828125,0.00732421875,True
ALNS,q75,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
ALNS,q75,serene,exp3,serene,0.4697265625,1.0,False
ALNS,q75,serene,roulette,roulette,0.67724609375,1.0,False
ALNS,q75,serene,uniform,serene,0.85009765625,1.0,False
ALNS,q75,serene,ucb1,ucb1,1.0,1.0,False
LS,q75,serene,greedy-mean,serene,0.00341796875,0.01708984375,True
LS,q75,serene,exp3,exp3,0.1748046875,0.69921875,False
LS,q75,serene,uniform,serene,0.2333984375,0.7001953125,False
LS,q75,serene,roulette,roulette,0.4697265625,0.939453125,False
LS,q75,serene,ucb1,ucb1,1.0,1.0,False
SA,q75,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q75,serene,exp3,exp3,0.044921875,0.1796875,False
SA,q75,serene,ucb1,ucb1,0.0673828125,0.2021484375,False
SA,q75,serene,uniform,uniform,0.33935546875,0.6787109375,False
