host,selector,g25,g50,g75,g100,auc
ALNS,exp3,0.22062148083043728,0.11925275413639616,0.06507233644819872,0.03969393938706583,0.05624750847799667
ALNS,greedy-mean,0.5431071972250118,0.5298459327386914,0.4995482489629546,0.4976477422800471,0.169374077128442
ALNS,roulette,0.20836958182222023,0.09652366673754614,0.044018651032825235,0.011159180545162128,0.05508429942485508
ALNS,serene,0.16143360231224846,0.11925992360263872,0.06982049043396558,0.033015092123940847,0.05215266429638479
ALNS,ucb1,0.16988829056671437,0.08409485255365244,0.0628118235670715,0.03817966604508609,0.04454882002387353
ALNS,uniform,0.20530944063034537,0.07913019078943966,0.048732467914566834,0.02516478364982373,0.052040805930240804
LS,exp3,0.18038902735343434,0.13257420232719144,0.09837245088913577,0.08318034732339975,0.04746189194406705
LS,greedy-mean,0.41510704716380287,0.3878564287730295,0.3878564287730295,0.37578397117816587,0.10421327094591325
LS,roulette,0.131251279310552,0.10891470983010693,0.08412974546397813,0.046195847637741684,0.04102381329731159
LS,serene,0.1528607306036089,0.0925985941778136,0.04434680428997908,0.04434680428997908,0.03766714924794179
LS,ucb1,0.1394959387346722,0.10069655125827637,0.06684722260255524,0.029064094293251717,0.04218267575445425
LS,uniform,0.166952511544846,0.10519305785273572,0.08295499998518961,0.06765893696405761,0.043417055085804714
SA,exp3,0.2143345870971041,0.06992635624796557,0.02115141099696916,0.00754081597203968,0.05369741643487055
SA,greedy-mean,0.6802781333978165,0.5778164134717295,0.5457861145821888,0.5457861145821888,0.18960894677812307
SA,roulette,0.22585578528884423,0.07601998972356314,0.04858345590829568,0.03353225545560299,0.059472793494944186
SA,serene,0.19022074180482468,0.11123665694124446,0.054366865650536035,0.03289962209905217,0.05187086698902324
SA,ucb1,0.204708297864098,0.08542533731445702,0.03311329123419642,0.03260573087393112,0.05057300944143028
SA,uniform,0.27351126555420807,0.0581440812589174,0.050063553122803806,0.034972551254244456,0.06984792551134898
Tabu,exp3,0.4094850588706289,0.17593030715405053,0.10445167917474057,0.07234237743493947,0.09866507951634729
Tabu,greedy-mean,1.215092705680804,1.1302561917773697,1.1022395192042533,1.0904172542840351,0.21705048621294856
Tabu,roulette,0.36157152138686166,0.17129180200478258,0.1019802523093148,0.05470758794727153,0.08756821920838118
Tabu,serene,0.2267955146661832,0.07477295836325672,0.04840298845607082,0.013050824593265046,0.04974265031672207
Tabu,ucb1,0.2821755918553843,0.15977098985954197,0.11472308875183958,0.09397736912636442,0.0706861280985325
Tabu,uniform,0.32697606605247415,0.1518497662544222,0.13458742265601878,0.07543993359296411,0.07639218463865309
