config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene|LS,5.0,auc,6.983672757499007e-18,10.087922910541621,13
serene|ALNS,6.615384615384615,auc,6.983672757499007e-18,10.087922910541621,13
ucb1|LS,6.846153846153846,auc,6.983672757499007e-18,10.087922910541621,13
uniform|LS,7.538461538461538,auc,6.983672757499007e-18,10.087922910541621,13
roulette|LS,7.615384615384615,auc,6.983672757499007e-18,10.087922910541621,13
uniform|ALNS,9.0,auc,6.983672757499007e-18,10.087922910541621,13
exp3|LS,9.076923076923077,auc,6.983672757499007e-18,10.087922910541621,13
serene|SA,9.538461538461538,auc,6.983672757499007e-18,10.087922910541621,13
ucb1|SA,10.307692307692308,auc,6.983672757499007e-18,10.087922910541621,13
serene|Tabu,10.76923076923077,auc,6.983672757499007e-18,10.087922910541621,13
ucb1|ALNS,10.846153846153847,auc,6.983672757499007e-18,10.087922910541621,13
roulette|ALNS,11.538461538461538,auc,6.983672757499007e-18,10.087922910541621,13
roulette|SA,12.307692307692308,auc,6.983672757499007e-18,10.087922910541621,13
exp3|SA,12.538461538461538,auc,6.983672757499007e-18,10.087922910541621,13
uniform|Tabu,13.0,auc,6.983672757499007e-18,10.087922910541621,13
exp3|ALNS,13.23076923076923,auc,6.983672757499007e-18,10.087922910541621,13
ucb1|Tabu,14.76923076923077,auc,6.983672757499007e-18,10.087922910541621,13
roulette|Tabu,15.153846153846153,auc,6.983672757499007e-18,10.087922910541621,13
uniform|SA,15.76923076923077,auc,6.983672757499007e-18,10.087922910541621,13
exp3|Tabu,17.53846153846154,auc,6.983672757499007e-18,10.087922910541621,13
greedy-mean|LS,18.0,auc,6.983672757499007e-18,10.087922910541621,13
greedy-mean|SA,18.692307692307693,auc,6.983672757499007e-18,10.087922910541621,13
greedy-mean|ALNS,21.615384615384617,auc,6.983672757499007e-18,10.087922910541621,13
greedy-mean|Tabu,22.692307692307693,auc,6.983672757499007e-18,10.087922910541621,13
ucb1|LS,7.115384615384615,q25,5.09498433834409e-12,10.087922910541621,13
roulette|LS,7.384615384615385,q25,5.09498433834409e-12,10.087922910541621,13
serene|ALNS,7.8076923076923075,q25,5.09498433834409e-12,10.087922910541621,13
serene|LS,8.423076923076923,q25,5.09498433834409e-12,10.087922910541621,13
serene|SA,9.076923076923077,q25,5.09498433834409e-12,10.087922910541621,13
ucb1|ALNS,9.115384615384615,q25,5.09498433834409e-12,10.087922910541621,13
exp3|LS,9.423076923076923,q25,5.09498433834409e-12,10.087922910541621,13
uniform|LS,9.73076923076923,q25,5.09498433834409e-12,10.087922910541621,13
uniform|ALNS,10.23076923076923,q25,5.09498433834409e-12,10.087922910541621,13
roulette|ALNS,11.115384615384615,q25,5.09498433834409e-12,10.087922910541621,13
roulette|SA,11.26923076923077,q25,5.09498433834409e-12,10.087922910541621,13
exp3|ALNS,11.423076923076923,q25,5.09498433834409e-12,10.087922910541621,13
ucb1|SA,11.653846153846153,q25,5.09498433834409e-12,10.087922910541621,13
exp3|SA,11.76923076923077,q25,5.09498433834409e-12,10.087922910541621,13
serene|Tabu,12.961538461538462,q25,5.09498433834409e-12,10.087922910541621,13
ucb1|Tabu,13.538461538461538,q25,5.09498433834409e-12,10.087922910541621,13
roulette|Tabu,13.923076923076923,q25,5.09498433834409e-12,10.087922910541621,13
uniform|SA,13.961538461538462,q25,5.09498433834409e-12,10.087922910541621,13
uniform|Tabu,15.038461538461538,q25,5.09498433834409e-12,10.087922910541621,13
exp3|Tabu,16.384615384615383,q25,5.09498433834409e-12,10.087922910541621,13
greedy-mean|SA,17.96153846153846,q25,5.09498433834409e-12,10.087922910541621,13
greedy-mean|LS,18.615384615384617,q25,5.09498433834409e-12,10.087922910541621,13
greedy-mean|ALNS,19.923076923076923,q25,5.09498433834409e-12,10.087922910541621,13
greedy-mean|Tabu,22.153846153846153,q25,5.09498433834409e-12,10.087922910541621,13
