instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host,g25,g50,g75,g100
cap41,uniform|LS,0,1040444.375,500,499,1.4556900129747419e-09,0.1031397257080354,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,uniform,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,uniform|LS,1,1040444.375,500,499,1.4556900129747419e-09,0.0057874390042989,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,uniform,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,uniform|LS,2,1040444.375,500,499,1.4556900129747419e-09,0.0298998538879933,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,uniform,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,uniform|LS,3,1040444.375,500,499,1.4556900129747419e-09,0.0463285164743188,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,uniform,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,uniform|LS,4,1040444.375,500,499,1.4556900129747419e-09,0.0447284730424146,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,uniform,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,roulette|LS,0,1040444.375,500,499,1.4556900129747419e-09,0.0337510650829758,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,roulette,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,roulette|LS,1,1040444.375,500,499,1.4556900129747419e-09,0.0270381673043791,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,roulette,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,roulette|LS,2,1040444.375,500,499,1.4556900129747419e-09,0.0375917961844012,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,roulette,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,roulette|LS,3,1040444.375,500,499,1.4556900129747419e-09,0.1026160218476911,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,roulette,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,roulette|LS,4,1040444.375,500,499,1.4556900129747419e-09,0.0215880528728562,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,roulette,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,ucb1|LS,0,1040444.375,500,499,1.4556900129747419e-09,0.0943517548494876,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,ucb1,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,ucb1|LS,1,1040444.375,500,499,1.4556900129747419e-09,0.0312726636617291,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,ucb1,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,ucb1|LS,2,1040444.375,500,499,1.4556900129747419e-09,0.0340074877424581,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,ucb1,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,ucb1|LS,3,1040444.375,500,499,1.4556900129747419e-09,0.0312726636617291,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,ucb1,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
cap41,ucb1|LS,4,1040444.375,500,499,1.4556900129747419e-09,0.0094547245573577,1,1050848.81722029,1040444.375,1040444.375,1040444.375,1040444.375,ucb1,LS,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09,1.4556900129747419e-09
