host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
ALNS,auc,serene,exp3,serene,0.021484375,0.0859375,False
ALNS,auc,serene,roulette,serene,0.021484375,0.0859375,False
ALNS,auc,serene,uniform,uniform,0.21630859375,0.4326171875,False
ALNS,auc,serene,ucb1,ucb1,0.541748046875,0.541748046875,False
LS,auc,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
LS,auc,serene,exp3,serene,0.006103515625,0.0244140625,True
LS,auc,serene,ucb1,serene,0.107177734375,0.321533203125,False
LS,auc,serene,roulette,serene,0.404052734375,0.80810546875,False
LS,auc,serene,uniform,serene,0.44384765625,0.80810546875,False
SA,auc,serene,greedy-mean,serene,0.001708984375,0.008544921875,True
SA,auc,serene,uniform,serene,0.013427734375,0.0537109375,False
SA,auc,serene,roulette,serene,0.339599609375,1.0,False
SA,auc,serene,exp3,serene,0.375732421875,1.0,False
SA,auc,serene,ucb1,ucb1,0.892578125,1.0,False
Tabu,auc,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
Tabu,auc,serene,exp3,serene,0.013427734375,0.0537109375,False
Tabu,auc,serene,roulette,serene,0.01708984375,0.0537109375,False
Tabu,auc,serene,uniform,serene,0.080322265625,0.16064453125,False
Tabu,auc,serene,ucb1,serene,0.243896484375,0.243896484375,False
ALNS,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,q25,serene,roulette,serene,0.16015625,0.640625,False
ALNS,q25,serene,exp3,serene,0.21630859375,0.64892578125,False
ALNS,q25,serene,uniform,serene,0.3203125,0.64892578125,False
ALNS,q25,serene,ucb1,serene,0.7646484375,0.7646484375,False
LS,q25,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
LS,q25,serene,exp3,serene,0.0546875,0.21875,False
LS,q25,serene,ucb1,ucb1,0.5703125,1.0,False
LS,q25,serene,uniform,serene,0.6796875,1.0,False
LS,q25,serene,roulette,roulette,0.7421875,1.0,False
SA,q25,serene,greedy-mean,serene,0.000732421875,0.003662109375,True
SA,q25,serene,exp3,serene,0.2333984375,0.93359375,False
SA,q25,serene,uniform,serene,0.243896484375,0.93359375,False
SA,q25,serene,ucb1,serene,0.305419921875,0.93359375,False
SA,q25,serene,roulette,serene,0.67724609375,0.93359375,False
Tabu,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q25,serene,uniform,serene,0.057373046875,0.2294921875,False
Tabu,q25,serene,exp3,serene,0.10986328125,0.32958984375,False
Tabu,q25,serene,roulette,serene,0.243896484375,0.48779296875,False
Tabu,q25,serene,ucb1,serene,0.339599609375,0.48779296875,False
ALNS,q50,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
ALNS,q50,serene,roulette,roulette,0.125,0.5,False
ALNS,q50,serene,uniform,uniform,0.1953125,0.5859375,False
ALNS,q50,serene,ucb1,ucb1,0.3125,0.625,False
ALNS,q50,serene,exp3,exp3,0.734375,0.734375,False
LS,q50,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
LS,q50,serene,exp3,serene,0.09375,0.375,False
LS,q50,serene,roulette,serene,0.7109375,1.0,False
LS,q50,serene,uniform,serene,0.8115234375,1.0,False
LS,q50,serene,ucb1,serene,0.9375,1.0,False
SA,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q50,serene,roulette,roulette,0.71484375,1.0,False
SA,q50,serene,exp3,exp3,0.8125,1.0,False
SA,q50,serene,ucb1,ucb1,0.8125,1.0,False
SA,q50,serene,uniform,uniform,0.9453125,1.0,False
Tabu,q50,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
Tabu,q50,serene,exp3,serene,0.013671875,0.0546875,False
Tabu,q50,serene,uniform,serene,0.0537109375,0.1611328125,False
Tabu,q50,serene,roulette,serene,0.068115234375,0.1611328125,False
Tabu,q50,serene,ucb1,serene,0.20361328125,0.20361328125,False
ALNS,q75,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
ALNS,q75,serene,roulette,roulette,0.0625,0.25,False
ALNS,q75,serene,uniform,uniform,0.15625,0.46875,False
ALNS,q75,serene,exp3,exp3,1.0,1.0,False
ALNS,q75,serene,ucb1,ucb1,1.0,1.0,False
LS,q75,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
LS,q75,serene,exp3,serene,0.046875,0.1875,False
LS,q75,serene,roulette,serene,0.109375,0.328125,False
LS,q75,serene,ucb1,serene,0.203125,0.40625,False
LS,q75,serene,uniform,serene,0.3076171875,0.40625,False
SA,q75,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q75,serene,ucb1,ucb1,0.375,1.0,False
SA,q75,serene,exp3,exp3,0.84375,1.0,False
SA,q75,serene,uniform,uniform,0.84375,1.0,False
SA,q75,serene,roulette,roulette,1.0,1.0,False
Tabu,q75,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
Tabu,q75,serene,uniform,serene,0.0068359375,0.02734375,True
Tabu,q75,serene,exp3,serene,0.009765625,0.029296875,True
Tabu,q75,serene,roulette,serene,0.232421875,0.46484375,False
Tabu,q75,serene,ucb1,serene,0.232421875,0.46484375,False
ALNS,q100,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
ALNS,q100,serene,roulette,roulette,0.125,0.5,False
ALNS,q100,serene,ucb1,serene,0.5625,1.0,False
ALNS,q100,serene,uniform,uniform,0.625,1.0,False
ALNS,q100,serene,exp3,serene,0.6875,1.0,False
LS,q100,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
LS,q100,serene,exp3,serene,0.1015625,0.40625,False
LS,q100,serene,uniform,serene,0.47265625,1.0,False
LS,q100,serene,ucb1,ucb1,0.65625,1.0,False
LS,q100,serene,roulette,serene,0.84375,1.0,False
SA,q100,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q100,serene,ucb1,ucb1,0.75,1.0,False
SA,q100,serene,exp3,exp3,0.8125,1.0,False
SA,q100,serene,roulette,roulette,1.0,1.0,False
SA,q100,serene,uniform,uniform,1.0,1.0,False
Tabu,q100,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
Tabu,q100,serene,uniform,serene,0.00390625,0.015625,True
Tabu,q100,serene,exp3,serene,0.009765625,0.029296875,True
Tabu,q100,serene,roulette,serene,0.01171875,0.029296875,True
Tabu,q100,serene,ucb1,serene,0.015625,0.029296875,True
