host,selector,g25,g50,g75,g100,auc
ALNS,exp3,0.9995726398249194,0.3652772498615376,0.29269058244051044,0.24374055429148495,0.10225767009020455
ALNS,greedy-mean,1.9071528900110495,1.2476906419563893,1.0727155765341858,0.9265315775717252,0.14861217194637608
ALNS,roulette,0.9757699654328489,0.3357527150819368,0.24717937933018286,0.19677462686771255,0.09496085966624998
ALNS,serene,0.6285399625078724,0.35211538386265373,0.27064134739814005,0.22908305337021903,0.0784406178615854
ALNS,ucb1,0.8288457314620702,0.39953166767501147,0.24959653070068255,0.2021688095982984,0.08814859347205833
ALNS,uniform,0.6849125187884941,0.4388296740842287,0.3066009640223919,0.24409620341251165,0.09463368452822703
LS,exp3,0.6833700414450765,0.48061093305549535,0.37423629930970176,0.3101788749636415,0.07918580082384456
LS,greedy-mean,1.2666460289052601,0.7690929862494561,0.6358998273672593,0.6221089484416745,0.11740468085076021
LS,roulette,0.6831865540031,0.3608445544462796,0.24704086913825296,0.23180530392116575,0.07623540410514007
LS,serene,0.7399820103076573,0.4693659332816245,0.26820957864520406,0.2244934772316992,0.08329146689917914
LS,ucb1,0.7028470090871642,0.44419770596015473,0.35571167526616265,0.27617235402178947,0.0874137501380564
LS,uniform,0.8303881100435451,0.5517044725755208,0.4311142695191567,0.3073319409590933,0.09198080120756905
SA,exp3,1.6635240917061687,0.47380151343313326,0.2875664188888729,0.25533470409249814,0.11792569410120042
SA,greedy-mean,2.7927711060101825,1.347162855545968,0.8354102644429953,0.6315614242139339,0.19236420051359296
SA,roulette,1.3123569376565312,0.4383863052522894,0.28604731098129327,0.2476441486275306,0.10883602387973379
SA,serene,0.7518879982492189,0.37925365529606814,0.24166755327137876,0.17303196777158233,0.08599867960974873
SA,ucb1,1.1443733443784587,0.43864401952921966,0.2879103842309833,0.2595084881171544,0.09703888925420634
SA,uniform,1.3252242915901824,0.4711193156060044,0.2754360685977117,0.23570536524742206,0.11045548750278865
Tabu,exp3,1.6336381917821403,0.9936097718419431,0.7748794011840119,0.6647079842430363,0.1420517275488618
Tabu,greedy-mean,2.671334563369438,2.4211696128833324,2.413220744339421,2.3895455440973774,0.22166357967206257
Tabu,roulette,1.870935412373638,1.072580978753305,0.7207796038827907,0.5567447024909229,0.14681723425161264
Tabu,serene,0.9715870024106522,0.5333521476020859,0.47167188036556446,0.3513470188165421,0.09952261723358344
Tabu,ucb1,1.9191375067064649,1.2848859964041337,0.8430449216808054,0.7268345984413794,0.16161174649218962
Tabu,uniform,1.5972617138094805,0.8210237111729191,0.7359005769301757,0.5998196873631055,0.151678899308512
