config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
roulette|LS,4.833333333333333,auc,6.26798407178292e-27,10.499843064054962,12
serene|ALNS,5.25,auc,6.26798407178292e-27,10.499843064054962,12
serene|LS,5.666666666666667,auc,6.26798407178292e-27,10.499843064054962,12
serene|SA,6.0,auc,6.26798407178292e-27,10.499843064054962,12
exp3|LS,6.666666666666667,auc,6.26798407178292e-27,10.499843064054962,12
ucb1|LS,7.166666666666667,auc,6.26798407178292e-27,10.499843064054962,12
ucb1|ALNS,7.666666666666667,auc,6.26798407178292e-27,10.499843064054962,12
uniform|LS,9.083333333333334,auc,6.26798407178292e-27,10.499843064054962,12
roulette|ALNS,9.166666666666666,auc,6.26798407178292e-27,10.499843064054962,12
uniform|ALNS,9.416666666666666,auc,6.26798407178292e-27,10.499843064054962,12
ucb1|SA,9.5,auc,6.26798407178292e-27,10.499843064054962,12
serene|Tabu,11.166666666666666,auc,6.26798407178292e-27,10.499843064054962,12
exp3|ALNS,11.75,auc,6.26798407178292e-27,10.499843064054962,12
roulette|SA,12.75,auc,6.26798407178292e-27,10.499843064054962,12
uniform|SA,13.166666666666666,auc,6.26798407178292e-27,10.499843064054962,12
greedy-mean|LS,14.5,auc,6.26798407178292e-27,10.499843064054962,12
exp3|SA,15.833333333333334,auc,6.26798407178292e-27,10.499843064054962,12
roulette|Tabu,17.75,auc,6.26798407178292e-27,10.499843064054962,12
uniform|Tabu,18.916666666666668,auc,6.26798407178292e-27,10.499843064054962,12
greedy-mean|ALNS,19.25,auc,6.26798407178292e-27,10.499843064054962,12
exp3|Tabu,19.416666666666668,auc,6.26798407178292e-27,10.499843064054962,12
ucb1|Tabu,20.5,auc,6.26798407178292e-27,10.499843064054962,12
greedy-mean|SA,22.166666666666668,auc,6.26798407178292e-27,10.499843064054962,12
greedy-mean|Tabu,22.416666666666668,auc,6.26798407178292e-27,10.499843064054962,12
roulette|LS,5.5,q25,5.039685429986644e-23,10.499843064054962,12
exp3|LS,5.75,q25,5.039685429986644e-23,10.499843064054962,12
serene|ALNS,5.833333333333333,q25,5.039685429986644e-23,10.499843064054962,12
serene|LS,6.5,q25,5.039685429986644e-23,10.499843064054962,12
uniform|ALNS,6.75,q25,5.039685429986644e-23,10.499843064054962,12
serene|SA,6.833333333333333,q25,5.039685429986644e-23,10.499843064054962,12
ucb1|LS,6.916666666666667,q25,5.039685429986644e-23,10.499843064054962,12
ucb1|ALNS,8.083333333333334,q25,5.039685429986644e-23,10.499843064054962,12
uniform|LS,9.083333333333334,q25,5.039685429986644e-23,10.499843064054962,12
roulette|ALNS,10.5,q25,5.039685429986644e-23,10.499843064054962,12
serene|Tabu,10.75,q25,5.039685429986644e-23,10.499843064054962,12
exp3|ALNS,11.166666666666666,q25,5.039685429986644e-23,10.499843064054962,12
ucb1|SA,12.333333333333334,q25,5.039685429986644e-23,10.499843064054962,12
greedy-mean|LS,13.416666666666666,q25,5.039685429986644e-23,10.499843064054962,12
uniform|SA,14.333333333333334,q25,5.039685429986644e-23,10.499843064054962,12
roulette|SA,15.0,q25,5.039685429986644e-23,10.499843064054962,12
exp3|Tabu,17.083333333333332,q25,5.039685429986644e-23,10.499843064054962,12
exp3|SA,17.25,q25,5.039685429986644e-23,10.499843064054962,12
greedy-mean|ALNS,17.583333333333332,q25,5.039685429986644e-23,10.499843064054962,12
