instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host,g25,g50,g75,g100
cap81,uniform|LS,0,840898.075,300,299,0.0028608125502656012,0.1892417385354616,107,846884.2785772235,846914.25,841883.475,841883.475,840898.075,uniform,LS,0.010035744124398116,0.0040360073498102444,0.0040360073498102444,0.0028608125502656012
cap81,uniform|LS,1,840898.075,300,299,0.0028608125502656012,0.12928692341930936,33,846884.2785772235,841862.7125,840898.075,840898.075,840898.075,uniform,LS,0.0040112458498857695,0.0028608125502656012,0.0028608125502656012,0.0028608125502656012
cap81,uniform|LS,2,841426.075,300,299,0.00349050897218528,0.1445042132975028,29,846884.2785772235,842053.1875,841426.075,841426.075,841426.075,uniform,LS,0.00423840764148653,0.00349050897218528,0.00349050897218528,0.00349050897218528
cap81,roulette|LS,0,841426.075,300,299,0.00349050897218528,0.14670212068469715,33,846884.2785772235,841426.075,841426.075,841426.075,841426.075,roulette,LS,0.00349050897218528,0.00349050897218528,0.00349050897218528,0.00349050897218528
cap81,roulette|LS,1,838499.2875,300,299,2.122812370330962e-09,0.062405084084951754,21,846884.2785772235,842053.1875,838499.2875,838499.2875,838499.2875,roulette,LS,0.00423840764148653,2.122812370330962e-09,2.122812370330962e-09,2.122812370330962e-09
cap81,roulette|LS,2,838499.2875,300,299,2.122812370330962e-09,0.07883110183620357,31,846884.2785772235,840898.075,838499.2875,838499.2875,838499.2875,roulette,LS,0.0028608125502656012,2.122812370330962e-09,2.122812370330962e-09,2.122812370330962e-09
cap81,ucb1|LS,0,838499.2875,300,299,2.122812370330962e-09,0.054386155930198674,13,846884.2785772235,839654.4,838499.2875,838499.2875,838499.2875,ucb1,LS,0.0013775972140330772,2.122812370330962e-09,2.122812370330962e-09,2.122812370330962e-09
cap81,ucb1|LS,1,838499.2875,300,299,2.122812370330962e-09,0.21842541690241044,22,846884.2785772235,844451.65,844451.65,844451.65,838499.2875,ucb1,LS,0.007098830471710338,0.007098830471710338,0.007098830471710338,2.122812370330962e-09
cap81,ucb1|LS,2,840898.075,300,299,0.0028608125502656012,0.13033716815065158,15,846884.2785772235,842053.1875,840898.075,840898.075,840898.075,ucb1,LS,0.00423840764148653,0.0028608125502656012,0.0028608125502656012,0.0028608125502656012
cap81,exp3|LS,0,841462.0875,300,299,0.0035334577267200906,0.15513365284876893,34,846884.2785772235,841883.475,841883.475,841462.0875,841462.0875,exp3,LS,0.0040360073498102444,0.0040360073498102444,0.0035334577267200906,0.0035334577267200906
cap81,exp3|LS,1,838499.2875,300,299,2.122812370330962e-09,0.060766647804122456,21,846884.2785772235,841862.7125,838499.2875,838499.2875,838499.2875,exp3,LS,0.0040112458498857695,2.122812370330962e-09,2.122812370330962e-09,2.122812370330962e-09
cap81,exp3|LS,2,838499.2875,300,299,2.122812370330962e-09,0.1091301605978796,18,846884.2785772235,840898.075,840898.075,840898.075,838499.2875,exp3,LS,0.0028608125502656012,0.0028608125502656012,0.0028608125502656012,2.122812370330962e-09
cap81,serene|LS,0,842481.4625,300,299,0.0047491713443228445,0.2096984754810504,53,846884.2785772235,843009.4625,843009.4625,842481.4625,842481.4625,serene,LS,0.005378867766242301,0.005378867766242301,0.0047491713443228445,0.0047491713443228445
cap81,serene|LS,1,838499.2875,300,299,2.122812370330962e-09,0.07418632777570648,20,846884.2785772235,839654.4,839463.925,839463.925,838499.2875,serene,LS,0.0013775972140330772,0.0011504354224325386,0.0011504354224325386,2.122812370330962e-09
cap81,serene|LS,2,841883.475,300,299,0.0040360073498102444,0.15097830128085,28,846884.2785772235,842510.5875,841883.475,841883.475,841883.475,serene,LS,0.004783906019111495,0.0040360073498102444,0.0040360073498102444,0.0040360073498102444
cap81,uniform|SA,0,838499.2875,300,299,2.122812370330962e-09,0.12865712665308365,30,846884.2785772235,841883.475,841883.475,840813.3125,838499.2875,uniform,SA,0.0040360073498102444,0.0040360073498102444,0.0027597242113206466,2.122812370330962e-09
cap81,uniform|SA,1,839654.4,300,299,0.0013775972140330772,0.27489802853425704,71,846884.2785772235,842053.1875,842053.1875,840111.8,839654.4,uniform,SA,0.00423840764148653,0.00423840764148653,0.0019230955916582637,0.0013775972140330772
cap81,uniform|SA,2,842324.9375,300,299,0.004562498555608974,0.25831820474733574,137,846884.2785772235,849179.0,842324.9375,842324.9375,842324.9375,uniform,SA,0.012736700509894838,0.004562498555608974,0.004562498555608974,0.004562498555608974
cap81,roulette|SA,0,839654.4,300,299,0.0013775972140330772,0.1054954951065592,19,846884.2785772235,840111.8,839654.4,839654.4,839654.4,roulette,SA,0.0019230955916582637,0.0013775972140330772,0.0013775972140330772,0.0013775972140330772
cap81,roulette|SA,1,839654.4,300,299,0.0013775972140330772,0.1717191099058847,63,846884.2785772235,842700.9875,839654.4,839654.4,839654.4,roulette,SA,0.005010978365197705,0.0013775972140330772,0.0013775972140330772,0.0013775972140330772
cap81,roulette|SA,2,838499.2875,300,299,2.122812370330962e-09,0.1885666326595841,80,846884.2785772235,849522.75,841697.825,840898.075,838499.2875,roulette,SA,0.01314665911791546,0.0038145998863077235,0.0028608125502656012,2.122812370330962e-09
cap81,ucb1|SA,0,839654.4,300,299,0.0013775972140330772,0.1523582379453433,16,846884.2785772235,846285.975,841883.475,840111.8,839654.4,ucb1,SA,0.009286459049622442,0.0040360073498102444,0.0019230955916582637,0.0013775972140330772
cap81,ucb1|SA,1,838499.2875,300,299,2.122812370330962e-09,0.17321322791355478,26,846884.2785772235,842708.7,842708.7,842708.7,838499.2875,ucb1,SA,0.0050201763456030335,0.0050201763456030335,0.0050201763456030335,2.122812370330962e-09
cap81,ucb1|SA,2,842053.1875,300,299,0.00423840764148653,0.241327003057574,69,846884.2785772235,845584.4625,842053.1875,842053.1875,842053.1875,ucb1,SA,0.008449830429959837,0.00423840764148653,0.00423840764148653,0.00423840764148653
cap81,exp3|SA,0,839463.925,300,299,0.0011504354224325386,0.11253473008893858,16,846884.2785772235,841426.075,840813.3125,839463.925,839463.925,exp3,SA,0.00349050897218528,0.0027597242113206466,0.0011504354224325386,0.0011504354224325386
cap81,exp3|SA,1,841426.075,300,299,0.00349050897218528,0.13136702939460923,18,846884.2785772235,841426.075,841426.075,841426.075,841426.075,exp3,SA,0.00349050897218528,0.00349050897218528,0.00349050897218528,0.00349050897218528
cap81,exp3|SA,2,838499.2875,300,299,2.122812370330962e-09,0.16014515635078938,58,846884.2785772235,846508.8125,838499.2875,838499.2875,838499.2875,exp3,SA,0.00955221658072003,2.122812370330962e-09,2.122812370330962e-09,2.122812370330962e-09
cap81,serene|SA,0,840607.55,300,299,0.002514330442352497,0.159265155722242,43,846884.2785772235,840607.55,840607.55,840607.55,840607.55,serene,SA,0.002514330442352497,0.002514330442352497,0.002514330442352497,0.002514330442352497
cap81,serene|SA,1,841426.075,300,299,0.00349050897218528,0.15186547669237044,15,846884.2785772235,843278.0875,842053.1875,841426.075,841426.075,serene,SA,0.005699231783928171,0.00423840764148653,0.00349050897218528,0.00349050897218528
cap81,serene|SA,2,839654.4,300,299,0.0013775972140330772,0.16932630557745565,38,846884.2785772235,841958.95,841958.95,841958.95,839654.4,serene,SA,0.004126019352545862,0.004126019352545862,0.004126019352545862,0.0013775972140330772
cap81,uniform|Tabu,0,844103.9875,300,299,0.00668420578935125,0.262444994996032,48,846884.2785772235,844480.9375,844480.9375,844480.9375,844103.9875,uniform,Tabu,0.0071337589451137,0.0071337589451137,0.0071337589451137,0.00668420578935125
cap81,uniform|Tabu,1,841301.4125,300,299,0.0033418356195382692,0.24788160915484792,89,846884.2785772235,851606.75,841301.4125,841301.4125,841301.4125,uniform,Tabu,0.015632051813522008,0.0033418356195382692,0.0033418356195382692,0.0033418356195382692
cap81,uniform|Tabu,2,839452.4375,300,299,0.0011367353511317901,0.1300140883838274,25,846884.2785772235,841426.075,841426.075,841426.075,839452.4375,uniform,Tabu,0.00349050897218528,0.00349050897218528,0.00349050897218528,0.0011367353511317901
cap81,roulette|Tabu,0,841766.4625,300,299,0.0038964574396400664,0.25596391692709763,149,846884.2785772235,847720.8375,846449.45,842246.7375,841766.4625,roulette,Tabu,0.010997685909843291,0.009481420456011191,0.004469236699180756,0.0038964574396400664
