host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
ALNS,auc,serene,exp3,serene,0.0048828125,0.01953125,True
ALNS,auc,serene,roulette,serene,0.00927734375,0.02783203125,True
ALNS,auc,serene,uniform,serene,0.02685546875,0.0537109375,False
ALNS,auc,serene,ucb1,serene,0.1513671875,0.1513671875,False
LS,auc,serene,uniform,serene,0.0205078125,0.1025390625,False
LS,auc,serene,greedy-mean,serene,0.02685546875,0.107421875,False
LS,auc,serene,ucb1,serene,0.4697265625,1.0,False
LS,auc,serene,exp3,exp3,0.7333984375,1.0,False
LS,auc,serene,roulette,roulette,0.7333984375,1.0,False
SA,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,auc,serene,exp3,serene,0.00146484375,0.005859375,True
SA,auc,serene,roulette,serene,0.00146484375,0.005859375,True
SA,auc,serene,uniform,serene,0.00927734375,0.0185546875,True
SA,auc,serene,ucb1,serene,0.0771484375,0.0771484375,False
Tabu,auc,serene,exp3,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,auc,serene,ucb1,serene,0.00146484375,0.00439453125,True
Tabu,auc,serene,uniform,serene,0.00341796875,0.0068359375,True
Tabu,auc,serene,roulette,serene,0.02685546875,0.02685546875,True
ALNS,q25,serene,greedy-mean,serene,0.00146484375,0.00732421875,True
ALNS,q25,serene,exp3,serene,0.0048828125,0.01953125,True
ALNS,q25,serene,roulette,serene,0.0048828125,0.01953125,True
ALNS,q25,serene,ucb1,serene,0.26611328125,0.5322265625,False
ALNS,q25,serene,uniform,serene,0.67724609375,0.67724609375,False
LS,q25,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
LS,q25,serene,uniform,serene,0.36962890625,1.0,False
LS,q25,serene,ucb1,ucb1,0.505859375,1.0,False
LS,q25,serene,exp3,exp3,0.662109375,1.0,False
LS,q25,serene,roulette,roulette,0.6640625,1.0,False
SA,q25,serene,exp3,serene,0.00048828125,0.00244140625,True
SA,q25,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q25,serene,uniform,serene,0.00341796875,0.01025390625,True
SA,q25,serene,roulette,serene,0.0048828125,0.01025390625,True
SA,q25,serene,ucb1,serene,0.02685546875,0.02685546875,True
Tabu,q25,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
Tabu,q25,serene,ucb1,serene,0.00341796875,0.013671875,True
Tabu,q25,serene,exp3,serene,0.0048828125,0.0146484375,True
Tabu,q25,serene,uniform,serene,0.00927734375,0.0185546875,True
Tabu,q25,serene,roulette,serene,0.02685546875,0.02685546875,True
ALNS,q50,serene,greedy-mean,serene,0.00244140625,0.01220703125,True
ALNS,q50,serene,uniform,serene,0.04248046875,0.169921875,False
ALNS,q50,serene,ucb1,serene,0.4697265625,1.0,False
ALNS,q50,serene,roulette,roulette,0.5693359375,1.0,False
ALNS,q50,serene,exp3,serene,0.90966796875,1.0,False
LS,q50,serene,greedy-mean,serene,0.0615234375,0.3076171875,False
LS,q50,serene,uniform,serene,0.45751953125,1.0,False
LS,q50,serene,exp3,serene,0.5625,1.0,False
LS,q50,serene,roulette,roulette,0.71923828125,1.0,False
LS,q50,serene,ucb1,ucb1,1.0,1.0,False
SA,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q50,serene,exp3,serene,0.12939453125,0.517578125,False
SA,q50,serene,roulette,serene,0.423828125,1.0,False
SA,q50,serene,ucb1,serene,0.423828125,1.0,False
SA,q50,serene,uniform,serene,0.6220703125,1.0,False
Tabu,q50,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q50,serene,ucb1,serene,0.00048828125,0.00244140625,True
Tabu,q50,serene,roulette,serene,0.00244140625,0.00732421875,True
Tabu,q50,serene,exp3,serene,0.0068359375,0.013671875,True
Tabu,q50,serene,uniform,serene,0.0341796875,0.0341796875,True
ALNS,q75,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
ALNS,q75,serene,roulette,roulette,0.38037109375,1.0,False
ALNS,q75,serene,uniform,serene,0.5185546875,1.0,False
ALNS,q75,serene,ucb1,ucb1,0.6376953125,1.0,False
ALNS,q75,serene,exp3,serene,0.90966796875,1.0,False
LS,q75,serene,greedy-mean,serene,0.01611328125,0.08056640625,False
LS,q75,serene,uniform,serene,0.29248046875,1.0,False
LS,q75,serene,ucb1,serene,0.5048828125,1.0,False
LS,q75,serene,exp3,serene,0.505859375,1.0,False
LS,q75,serene,roulette,roulette,0.8349609375,1.0,False
SA,q75,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q75,serene,exp3,serene,0.3203125,1.0,False
SA,q75,serene,roulette,serene,0.7333984375,1.0,False
SA,q75,serene,uniform,serene,0.791015625,1.0,False
SA,q75,serene,ucb1,serene,0.85009765625,1.0,False
Tabu,q75,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q75,serene,roulette,serene,0.01220703125,0.048828125,True
Tabu,q75,serene,ucb1,serene,0.02685546875,0.08056640625,False
Tabu,q75,serene,exp3,serene,0.04248046875,0.0849609375,False
Tabu,q75,serene,uniform,serene,0.06396484375,0.0849609375,False
ALNS,q100,serene,greedy-mean,serene,0.00244140625,0.01220703125,True
ALNS,q100,serene,roulette,roulette,0.423828125,1.0,False
ALNS,q100,serene,exp3,serene,0.6376953125,1.0,False
ALNS,q100,serene,uniform,serene,0.67724609375,1.0,False
ALNS,q100,serene,ucb1,ucb1,0.7646484375,1.0,False
LS,q100,serene,greedy-mean,serene,0.01220703125,0.06103515625,False
LS,q100,serene,uniform,serene,0.41259765625,1.0,False
LS,q100,serene,ucb1,serene,0.45703125,1.0,False
LS,q100,serene,exp3,serene,0.6630859375,1.0,False
LS,q100,serene,roulette,serene,1.0,1.0,False
SA,q100,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
SA,q100,serene,exp3,serene,0.10986328125,0.439453125,False
SA,q100,serene,roulette,serene,0.240234375,0.720703125,False
SA,q100,serene,uniform,serene,0.46484375,0.9296875,False
SA,q100,serene,ucb1,serene,0.6376953125,0.9296875,False
Tabu,q100,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q100,serene,uniform,serene,0.0068359375,0.02734375,True
Tabu,q100,serene,ucb1,serene,0.01220703125,0.03662109375,True
Tabu,q100,serene,roulette,serene,0.01611328125,0.03662109375,True
Tabu,q100,serene,exp3,serene,0.04248046875,0.04248046875,True
