host,selector,g25,g50,g75,g100,auc
ALNS,greedy-mean,0.019071528900110494,0.012476906419563893,0.010727155765341858,0.009265315775717252,0.14861217194637608
ALNS,roulette,0.009757699654328489,0.003357527150819368,0.0024717937933018286,0.0019677462686771255,0.09496085966624998
ALNS,serene-full,0.006285399625078724,0.0035211538386265375,0.0027064134739814005,0.0022908305337021903,0.0784406178615854
ALNS,serene-noctx,0.010115784791652174,0.003057985537196467,0.002739409875789211,0.0023522721077962696,0.08868681754825772
ALNS,serene-noexpl,0.02570057649338004,0.012475079140524321,0.010401885530866425,0.010227921901571025,0.1511700219095138
ALNS,serene-nogate,0.010028229729914954,0.004245092433835165,0.0031936910487541043,0.0027995282647405614,0.10190702849574768
ALNS,serene-plainTS,0.011388491195797946,0.005691273542636929,0.003615249329377466,0.0026488533280729764,0.09231193398872452
ALNS,uniform,0.006849125187884941,0.004388296740842287,0.003066009640223919,0.0024409620341251164,0.09463368452822703
SA,greedy-mean,0.027927711060101827,0.01347162855545968,0.008354102644429953,0.00631561424213934,0.19236420051359296
SA,roulette,0.013123569376565312,0.004383863052522894,0.0028604731098129327,0.002476441486275306,0.10883602387973379
SA,serene-full,0.007518879982492189,0.003792536552960681,0.0024166755327137877,0.0017303196777158235,0.08599867960974873
SA,serene-noctx,0.011390139095903171,0.0050844753612474475,0.0035031702902188428,0.0024621316028318402,0.10689937567267113
SA,serene-noexpl,0.025776230462327736,0.018851857018756964,0.00820221650739162,0.00633092253994574,0.1594466209904507
SA,serene-nogate,0.015360685790941896,0.004787955490227693,0.0028478869914064044,0.0024085549059550374,0.11087511758557142
SA,serene-plainTS,0.009168687410626007,0.004587884343610926,0.0028454490584634592,0.00229849282528354,0.09965611359545584
SA,uniform,0.013252242915901824,0.004711193156060044,0.0027543606859771167,0.0023570536524742205,0.11045548750278865
Tabu,greedy-mean,0.02671334563369438,0.024211696128833324,0.02413220744339421,0.023895455440973774,0.22166357967206257
Tabu,roulette,0.01870935412373638,0.01072580978753305,0.007207796038827908,0.005567447024909229,0.14681723425161264
Tabu,serene-full,0.009715870024106522,0.00533352147602086,0.004716718803655645,0.0035134701881654215,0.09952261723358344
Tabu,serene-noctx,0.013158605938977398,0.006797401865996771,0.00426858438076835,0.003468415384906967,0.11507571441664603
Tabu,serene-noexpl,0.03593255436897752,0.016950263796986886,0.014677617972123932,0.014099648757120522,0.20968291333011704
Tabu,serene-nogate,0.013979942009021036,0.008458844736747247,0.006520784456969815,0.005916738325830901,0.13181062427674317
Tabu,serene-plainTS,0.01622759253717856,0.010311256054927276,0.007327114362797621,0.006162632663272256,0.13095042261526765
Tabu,uniform,0.015972617138094804,0.00821023711172919,0.007359005769301757,0.005998196873631055,0.151678899308512
