instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host,g25,g50,g75,g100
cap81,serene-full|ALNS,0,839654.4,300,299,0.0013775972140330772,0.09942595832661118,17,846884.2785772235,840898.075,840898.075,839654.4,839654.4,serene-full,ALNS,0.0028608125502656012,0.0028608125502656012,0.0013775972140330772,0.0013775972140330772
cap81,serene-full|ALNS,1,839654.4,300,299,0.0013775972140330772,0.08260664596710546,41,846884.2785772235,839654.4,839654.4,839654.4,839654.4,serene-full,ALNS,0.0013775972140330772,0.0013775972140330772,0.0013775972140330772,0.0013775972140330772
cap81,serene-full|ALNS,2,840111.8,300,299,0.0019230955916582637,0.09216723607752202,15,846884.2785772235,840813.3125,840111.8,840111.8,840111.8,serene-full,ALNS,0.0027597242113206466,0.0019230955916582637,0.0019230955916582637,0.0019230955916582637
cap81,serene-noctx|ALNS,0,839654.4,300,299,0.0013775972140330772,0.1989138759202206,55,846884.2785772235,844855.3125,842053.1875,841958.95,839654.4,serene-noctx,ALNS,0.007580241138212429,0.00423840764148653,0.004126019352545862,0.0013775972140330772
cap81,serene-noctx|ALNS,1,838499.2875,300,299,2.122812370330962e-09,0.08291158134713074,38,846884.2785772235,840813.3125,838499.2875,838499.2875,838499.2875,serene-noctx,ALNS,0.0027597242113206466,2.122812370330962e-09,2.122812370330962e-09,2.122812370330962e-09
cap81,serene-noctx|ALNS,2,841169.825,300,299,0.0031849034643880447,0.1372859866601022,12,846884.2785772235,842053.1875,841862.7125,841862.7125,841169.825,serene-noctx,ALNS,0.00423840764148653,0.0040112458498857695,0.0040112458498857695,0.0031849034643880447
cap81,serene-nogate|ALNS,0,838499.2875,300,299,2.122812370330962e-09,0.13585979324630648,92,846884.2785772235,847615.7625,840607.55,838499.2875,838499.2875,serene-nogate,ALNS,0.010872372744060499,0.002514330442352497,2.122812370330962e-09,2.122812370330962e-09
cap81,serene-nogate|ALNS,1,839654.4,300,299,0.0013775972140330772,0.175915192929843,18,846884.2785772235,846258.0375,844480.9375,839654.4,839654.4,serene-nogate,ALNS,0.009253140595479659,0.0071337589451137,0.0013775972140330772,0.0013775972140330772
cap81,serene-nogate|ALNS,2,840111.8,300,299,0.0019230955916582637,0.14470890488305418,36,846884.2785772235,843333.6375,840111.8,840111.8,840111.8,serene-nogate,ALNS,0.005765481094984315,0.0019230955916582637,0.0019230955916582637,0.0019230955916582637
cap81,serene-noexpl|ALNS,0,841697.825,300,299,0.0038145998863077235,0.15548147922347183,26,846884.2785772235,841697.825,841697.825,841697.825,841697.825,serene-noexpl,ALNS,0.0038145998863077235,0.0038145998863077235,0.0038145998863077235,0.0038145998863077235
