host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
ALNS,auc,serene-full,serene-nogate,serene-full,0.00048828125,0.00341796875,True
ALNS,auc,serene-full,greedy-mean,serene-full,0.0009765625,0.0048828125,True
ALNS,auc,serene-full,roulette,serene-full,0.00927734375,0.037109375,True
ALNS,auc,serene-full,uniform,serene-full,0.02685546875,0.08056640625,False
ALNS,auc,serene-full,serene-plainTS,serene-full,0.04248046875,0.0849609375,False
ALNS,auc,serene-full,serene-noctx,serene-full,0.12939453125,0.12939453125,False
SA,auc,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
SA,auc,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
SA,auc,serene-full,roulette,serene-full,0.00146484375,0.00732421875,True
SA,auc,serene-full,serene-nogate,serene-full,0.00146484375,0.00732421875,True
SA,auc,serene-full,serene-noctx,serene-full,0.00244140625,0.00732421875,True
SA,auc,serene-full,uniform,serene-full,0.00927734375,0.0185546875,True
SA,auc,serene-full,serene-plainTS,serene-full,0.01220703125,0.0185546875,True
Tabu,auc,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
Tabu,auc,serene-full,serene-noexpl,serene-full,0.0009765625,0.005859375,True
Tabu,auc,serene-full,uniform,serene-full,0.00341796875,0.01708984375,True
Tabu,auc,serene-full,serene-nogate,serene-full,0.01220703125,0.048828125,True
Tabu,auc,serene-full,serene-plainTS,serene-full,0.02099609375,0.06298828125,False
Tabu,auc,serene-full,roulette,serene-full,0.02685546875,0.06298828125,False
Tabu,auc,serene-full,serene-noctx,serene-full,0.12939453125,0.12939453125,False
ALNS,q25,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
ALNS,q25,serene-full,greedy-mean,serene-full,0.00146484375,0.0087890625,True
ALNS,q25,serene-full,roulette,serene-full,0.0048828125,0.0244140625,True
ALNS,q25,serene-full,serene-noctx,serene-full,0.0341796875,0.13671875,False
ALNS,q25,serene-full,serene-plainTS,serene-full,0.04248046875,0.13671875,False
ALNS,q25,serene-full,serene-nogate,serene-full,0.05224609375,0.13671875,False
ALNS,q25,serene-full,uniform,serene-full,0.67724609375,0.67724609375,False
SA,q25,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
SA,q25,serene-full,serene-nogate,serene-full,0.00048828125,0.00341796875,True
SA,q25,serene-full,serene-noexpl,serene-full,0.00341796875,0.01708984375,True
SA,q25,serene-full,uniform,serene-full,0.00341796875,0.01708984375,True
SA,q25,serene-full,roulette,serene-full,0.0048828125,0.01708984375,True
SA,q25,serene-full,serene-noctx,serene-full,0.02685546875,0.0537109375,False
SA,q25,serene-full,serene-plainTS,serene-full,0.12939453125,0.12939453125,False
Tabu,q25,serene-full,greedy-mean,serene-full,0.0009765625,0.0068359375,True
