host,selector,g25,g50,g75,g100,auc
ALNS,exp3,0.3931042981586507,0.15816698417639655,0.10532699374905785,0.06455388115163822,0.08175312935714837
ALNS,greedy-mean,0.5315881085851639,0.4019864438096307,0.3996127859215872,0.3810810710319654,0.1601863915857832
ALNS,roulette,0.3467989069443743,0.14084436696144165,0.11889914934215,0.05681020248500257,0.0849036373156265
ALNS,serene,0.19927439292788227,0.11460046954787127,0.10686418140447658,0.06652592694168258,0.05868946352000959
ALNS,ucb1,0.1645329568151671,0.1138991395776266,0.06726485311529429,0.05894590517902773,0.057572156479851096
ALNS,uniform,0.4214576841227838,0.21521074408163807,0.12730166412547103,0.0981979086390072,0.08915354507685072
LS,exp3,0.1844698980035424,0.11418043376954327,0.1137574668026553,0.07705015224865203,0.06142647349115613
LS,greedy-mean,0.39420824479385114,0.31837258117753525,0.3118948789616024,0.3118948789616024,0.11612730695056019
LS,roulette,0.25304970302367213,0.15921055076787682,0.13785389563972422,0.10817925680067586,0.058094519371885034
LS,serene,0.37887934129833495,0.23901311597782096,0.16240573558342258,0.12084784668753545,0.06241354199843007
LS,ucb1,0.24500646016417404,0.10919748697973708,0.0830395297655031,0.0830395297655031,0.061776593556092343
LS,uniform,0.21811663021137662,0.1289818801564387,0.10153724569096556,0.08258256383445575,0.05869013144997533
SA,exp3,0.43768889432275054,0.1695818890812919,0.11030239010781416,0.06749934237557739,0.09925697771922423
SA,greedy-mean,0.9374204892604722,0.7719468460258967,0.7249127724033411,0.7189635102828041,0.23927703818793183
SA,roulette,0.4305986015463739,0.14865614824257178,0.11485573801040354,0.09259437993574182,0.09614210956702013
SA,serene,0.3147258736768844,0.15787197858151697,0.10752790861611894,0.08772677677729712,0.0727695676067631
SA,ucb1,0.3550449306496235,0.122123772372752,0.08334198191744452,0.06636482609178268,0.07374687750277789
SA,uniform,0.48646482380295414,0.1733414764491335,0.13349914477403738,0.0796116575988306,0.116272563357985
Tabu,exp3,0.5928314207678032,0.2762486131974427,0.1788496443537339,0.1212398376991648,0.13056943818929012
Tabu,greedy-mean,0.9342023559107422,0.7339424459975274,0.7339424459975274,0.7339424459975274,0.182973112392613
Tabu,roulette,0.5934351822163562,0.30126452765470024,0.20397555046253035,0.12090134109755934,0.1313954630006761
Tabu,serene,0.34272320022661196,0.13334100476416222,0.09981865020939225,0.07608930141856701,0.08102454846881506
Tabu,ucb1,0.2740066122621656,0.20910530653931303,0.16247234345912023,0.12758202709178254,0.0868165493018784
Tabu,uniform,0.5321277960791644,0.29714566856850466,0.16691747848594096,0.1506147299971763,0.11721824977966953
