config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene|ALNS,5.076923076923077,auc,2.085864186731956e-13,10.087922910541621,13
uniform|LS,6.6923076923076925,auc,2.085864186731956e-13,10.087922910541621,13
exp3|LS,7.076923076923077,auc,2.085864186731956e-13,10.087922910541621,13
ucb1|LS,7.384615384615385,auc,2.085864186731956e-13,10.087922910541621,13
roulette|LS,7.461538461538462,auc,2.085864186731956e-13,10.087922910541621,13
serene|LS,7.846153846153846,auc,2.085864186731956e-13,10.087922910541621,13
ucb1|ALNS,8.153846153846153,auc,2.085864186731956e-13,10.087922910541621,13
serene|SA,9.846153846153847,auc,2.085864186731956e-13,10.087922910541621,13
serene|Tabu,10.615384615384615,auc,2.085864186731956e-13,10.087922910541621,13
ucb1|SA,10.846153846153847,auc,2.085864186731956e-13,10.087922910541621,13
roulette|ALNS,11.76923076923077,auc,2.085864186731956e-13,10.087922910541621,13
uniform|ALNS,13.076923076923077,auc,2.085864186731956e-13,10.087922910541621,13
ucb1|Tabu,13.461538461538462,auc,2.085864186731956e-13,10.087922910541621,13
exp3|ALNS,13.76923076923077,auc,2.085864186731956e-13,10.087922910541621,13
greedy-mean|LS,13.846153846153847,auc,2.085864186731956e-13,10.087922910541621,13
uniform|Tabu,15.615384615384615,auc,2.085864186731956e-13,10.087922910541621,13
roulette|SA,16.23076923076923,auc,2.085864186731956e-13,10.087922910541621,13
greedy-mean|SA,16.307692307692307,auc,2.085864186731956e-13,10.087922910541621,13
exp3|Tabu,16.46153846153846,auc,2.085864186731956e-13,10.087922910541621,13
exp3|SA,16.692307692307693,auc,2.085864186731956e-13,10.087922910541621,13
roulette|Tabu,16.76923076923077,auc,2.085864186731956e-13,10.087922910541621,13
greedy-mean|ALNS,16.923076923076923,auc,2.085864186731956e-13,10.087922910541621,13
uniform|SA,18.23076923076923,auc,2.085864186731956e-13,10.087922910541621,13
greedy-mean|Tabu,19.846153846153847,auc,2.085864186731956e-13,10.087922910541621,13
exp3|LS,5.653846153846154,q25,5.264174697191845e-09,10.087922910541621,13
ucb1|ALNS,5.769230769230769,q25,5.264174697191845e-09,10.087922910541621,13
uniform|LS,7.115384615384615,q25,5.264174697191845e-09,10.087922910541621,13
serene|ALNS,7.653846153846154,q25,5.264174697191845e-09,10.087922910541621,13
ucb1|LS,8.615384615384615,q25,5.264174697191845e-09,10.087922910541621,13
roulette|LS,9.0,q25,5.264174697191845e-09,10.087922910541621,13
ucb1|Tabu,9.653846153846153,q25,5.264174697191845e-09,10.087922910541621,13
serene|SA,11.0,q25,5.264174697191845e-09,10.087922910541621,13
serene|LS,11.192307692307692,q25,5.264174697191845e-09,10.087922910541621,13
roulette|ALNS,12.038461538461538,q25,5.264174697191845e-09,10.087922910541621,13
serene|Tabu,12.076923076923077,q25,5.264174697191845e-09,10.087922910541621,13
ucb1|SA,12.807692307692308,q25,5.264174697191845e-09,10.087922910541621,13
uniform|ALNS,14.0,q25,5.264174697191845e-09,10.087922910541621,13
exp3|SA,14.115384615384615,q25,5.264174697191845e-09,10.087922910541621,13
roulette|SA,14.307692307692308,q25,5.264174697191845e-09,10.087922910541621,13
greedy-mean|LS,14.5,q25,5.264174697191845e-09,10.087922910541621,13
exp3|ALNS,14.576923076923077,q25,5.264174697191845e-09,10.087922910541621,13
uniform|Tabu,15.26923076923077,q25,5.264174697191845e-09,10.087922910541621,13
uniform|SA,15.923076923076923,q25,5.264174697191845e-09,10.087922910541621,13
greedy-mean|SA,16.26923076923077,q25,5.264174697191845e-09,10.087922910541621,13
greedy-mean|ALNS,16.576923076923077,q25,5.264174697191845e-09,10.087922910541621,13
roulette|Tabu,16.96153846153846,q25,5.264174697191845e-09,10.087922910541621,13
exp3|Tabu,17.23076923076923,q25,5.264174697191845e-09,10.087922910541621,13
greedy-mean|Tabu,17.692307692307693,q25,5.264174697191845e-09,10.087922910541621,13
exp3|LS,8.615384615384615,q50,4.529547192310054e-08,10.087922910541621,13
serene|ALNS,8.653846153846153,q50,4.529547192310054e-08,10.087922910541621,13
ucb1|ALNS,8.653846153846153,q50,4.529547192310054e-08,10.087922910541621,13
roulette|ALNS,8.846153846153847,q50,4.529547192310054e-08,10.087922910541621,13
ucb1|SA,9.23076923076923,q50,4.529547192310054e-08,10.087922910541621,13
serene|SA,9.461538461538462,q50,4.529547192310054e-08,10.087922910541621,13
serene|Tabu,9.615384615384615,q50,4.529547192310054e-08,10.087922910541621,13
ucb1|LS,9.692307692307692,q50,4.529547192310054e-08,10.087922910541621,13
roulette|SA,10.576923076923077,q50,4.529547192310054e-08,10.087922910541621,13
exp3|ALNS,10.961538461538462,q50,4.529547192310054e-08,10.087922910541621,13
uniform|LS,11.23076923076923,q50,4.529547192310054e-08,10.087922910541621,13
roulette|LS,11.23076923076923,q50,4.529547192310054e-08,10.087922910541621,13
exp3|SA,11.692307692307692,q50,4.529547192310054e-08,10.087922910541621,13
uniform|SA,12.115384615384615,q50,4.529547192310054e-08,10.087922910541621,13
ucb1|Tabu,12.538461538461538,q50,4.529547192310054e-08,10.087922910541621,13
uniform|ALNS,13.5,q50,4.529547192310054e-08,10.087922910541621,13
serene|LS,14.076923076923077,q50,4.529547192310054e-08,10.087922910541621,13
uniform|Tabu,15.346153846153847,q50,4.529547192310054e-08,10.087922910541621,13
roulette|Tabu,15.653846153846153,q50,4.529547192310054e-08,10.087922910541621,13
exp3|Tabu,15.692307692307692,q50,4.529547192310054e-08,10.087922910541621,13
greedy-mean|ALNS,16.346153846153847,q50,4.529547192310054e-08,10.087922910541621,13
greedy-mean|SA,17.5,q50,4.529547192310054e-08,10.087922910541621,13
greedy-mean|LS,18.03846153846154,q50,4.529547192310054e-08,10.087922910541621,13
greedy-mean|Tabu,20.73076923076923,q50,4.529547192310054e-08,10.087922910541621,13
ucb1|ALNS,8.0,q75,5.825155947034072e-10,10.087922910541621,13
ucb1|SA,8.807692307692308,q75,5.825155947034072e-10,10.087922910541621,13
roulette|SA,9.076923076923077,q75,5.825155947034072e-10,10.087922910541621,13
ucb1|LS,9.115384615384615,q75,5.825155947034072e-10,10.087922910541621,13
serene|SA,9.5,q75,5.825155947034072e-10,10.087922910541621,13
uniform|SA,9.846153846153847,q75,5.825155947034072e-10,10.087922910541621,13
serene|ALNS,9.961538461538462,q75,5.825155947034072e-10,10.087922910541621,13
exp3|SA,10.23076923076923,q75,5.825155947034072e-10,10.087922910541621,13
roulette|ALNS,10.23076923076923,q75,5.825155947034072e-10,10.087922910541621,13
exp3|LS,10.807692307692308,q75,5.825155947034072e-10,10.087922910541621,13
exp3|ALNS,11.192307692307692,q75,5.825155947034072e-10,10.087922910541621,13
uniform|ALNS,11.192307692307692,q75,5.825155947034072e-10,10.087922910541621,13
serene|Tabu,11.26923076923077,q75,5.825155947034072e-10,10.087922910541621,13
serene|LS,12.115384615384615,q75,5.825155947034072e-10,10.087922910541621,13
uniform|LS,12.192307692307692,q75,5.825155947034072e-10,10.087922910541621,13
roulette|LS,12.961538461538462,q75,5.825155947034072e-10,10.087922910541621,13
ucb1|Tabu,13.615384615384615,q75,5.825155947034072e-10,10.087922910541621,13
uniform|Tabu,13.923076923076923,q75,5.825155947034072e-10,10.087922910541621,13
roulette|Tabu,15.038461538461538,q75,5.825155947034072e-10,10.087922910541621,13
exp3|Tabu,15.461538461538462,q75,5.825155947034072e-10,10.087922910541621,13
greedy-mean|SA,16.653846153846153,q75,5.825155947034072e-10,10.087922910541621,13
greedy-mean|ALNS,17.692307692307693,q75,5.825155947034072e-10,10.087922910541621,13
greedy-mean|LS,19.115384615384617,q75,5.825155947034072e-10,10.087922910541621,13
greedy-mean|Tabu,22.0,q75,5.825155947034072e-10,10.087922910541621,13
roulette|ALNS,8.615384615384615,q100,2.5298384712098493e-11,10.087922910541621,13
exp3|SA,8.807692307692308,q100,2.5298384712098493e-11,10.087922910541621,13
ucb1|ALNS,8.846153846153847,q100,2.5298384712098493e-11,10.087922910541621,13
uniform|SA,9.153846153846153,q100,2.5298384712098493e-11,10.087922910541621,13
