host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene,roulette,serene,0.000244140625,0.001220703125,True
ALNS,auc,serene,greedy-mean,serene,0.000732421875,0.0029296875,True
ALNS,auc,serene,exp3,serene,0.006103515625,0.018310546875,True
ALNS,auc,serene,uniform,serene,0.006103515625,0.018310546875,True
ALNS,auc,serene,ucb1,ucb1,0.541748046875,0.541748046875,False
LS,auc,serene,greedy-mean,serene,0.009765625,0.048828125,True
LS,auc,serene,roulette,roulette,0.404296875,1.0,False
LS,auc,serene,ucb1,ucb1,0.7216796875,1.0,False
LS,auc,serene,uniform,uniform,0.87841796875,1.0,False
LS,auc,serene,exp3,exp3,0.929931640625,1.0,False
SA,auc,serene,roulette,serene,0.00048828125,0.00244140625,True
SA,auc,serene,exp3,serene,0.00244140625,0.009765625,True
SA,auc,serene,uniform,serene,0.006103515625,0.018310546875,True
SA,auc,serene,greedy-mean,serene,0.057373046875,0.11474609375,False
SA,auc,serene,ucb1,serene,0.635498046875,0.635498046875,False
Tabu,auc,serene,greedy-mean,serene,0.000732421875,0.003662109375,True
Tabu,auc,serene,uniform,serene,0.03271484375,0.130859375,False
Tabu,auc,serene,exp3,serene,0.057373046875,0.172119140625,False
Tabu,auc,serene,roulette,serene,0.080322265625,0.172119140625,False
Tabu,auc,serene,ucb1,serene,0.587890625,0.587890625,False
ALNS,q25,serene,exp3,serene,0.001220703125,0.006103515625,True
ALNS,q25,serene,uniform,serene,0.001953125,0.0078125,True
ALNS,q25,serene,greedy-mean,serene,0.0048828125,0.0146484375,True
ALNS,q25,serene,roulette,serene,0.009765625,0.01953125,True
ALNS,q25,serene,ucb1,ucb1,0.7646484375,0.7646484375,False
LS,q25,serene,uniform,uniform,0.10546875,0.52734375,False
LS,q25,serene,exp3,exp3,0.109375,0.52734375,False
LS,q25,serene,greedy-mean,serene,0.1474609375,0.52734375,False
LS,q25,serene,ucb1,ucb1,0.365234375,0.73046875,False
LS,q25,serene,roulette,roulette,0.431640625,0.73046875,False
SA,q25,serene,greedy-mean,serene,0.026611328125,0.133056640625,False
SA,q25,serene,roulette,serene,0.0478515625,0.19140625,False
SA,q25,serene,uniform,serene,0.127197265625,0.381591796875,False
SA,q25,serene,exp3,serene,0.339599609375,0.67919921875,False
SA,q25,serene,ucb1,serene,0.635498046875,0.67919921875,False
Tabu,q25,serene,exp3,serene,0.01708984375,0.08544921875,False
Tabu,q25,serene,greedy-mean,serene,0.0478515625,0.19140625,False
Tabu,q25,serene,roulette,serene,0.0771484375,0.2314453125,False
Tabu,q25,serene,uniform,serene,0.146484375,0.29296875,False
Tabu,q25,serene,ucb1,ucb1,0.423828125,0.423828125,False
ALNS,q50,serene,greedy-mean,serene,0.001953125,0.009765625,True
ALNS,q50,serene,uniform,serene,0.02734375,0.109375,False
ALNS,q50,serene,exp3,serene,0.578125,1.0,False
ALNS,q50,serene,roulette,serene,0.8125,1.0,False
ALNS,q50,serene,ucb1,ucb1,1.0,1.0,False
LS,q50,serene,exp3,exp3,0.0390625,0.1953125,False
LS,q50,serene,uniform,uniform,0.09375,0.375,False
LS,q50,serene,roulette,roulette,0.09765625,0.375,False
LS,q50,serene,greedy-mean,serene,0.1181640625,0.375,False
LS,q50,serene,ucb1,ucb1,0.25,0.375,False
SA,q50,serene,greedy-mean,serene,0.0244140625,0.1220703125,False
SA,q50,serene,uniform,serene,0.37109375,1.0,False
SA,q50,serene,roulette,roulette,0.49609375,1.0,False
SA,q50,serene,ucb1,ucb1,0.5703125,1.0,False
SA,q50,serene,exp3,serene,0.734375,1.0,False
Tabu,q50,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
Tabu,q50,serene,uniform,serene,0.0478515625,0.19140625,False
Tabu,q50,serene,exp3,serene,0.0771484375,0.2314453125,False
Tabu,q50,serene,roulette,serene,0.1513671875,0.302734375,False
Tabu,q50,serene,ucb1,serene,0.57470703125,0.57470703125,False
ALNS,q75,serene,greedy-mean,serene,0.001953125,0.009765625,True
ALNS,q75,serene,ucb1,ucb1,0.4375,1.0,False
ALNS,q75,serene,uniform,serene,0.46875,1.0,False
ALNS,q75,serene,exp3,exp3,1.0,1.0,False
ALNS,q75,serene,roulette,serene,1.0,1.0,False
LS,q75,serene,greedy-mean,serene,0.0673828125,0.3369140625,False
LS,q75,serene,uniform,uniform,0.546875,1.0,False
LS,q75,serene,exp3,exp3,0.8203125,1.0,False
LS,q75,serene,roulette,roulette,0.875,1.0,False
LS,q75,serene,ucb1,ucb1,0.91015625,1.0,False
SA,q75,serene,greedy-mean,serene,0.01171875,0.05859375,False
SA,q75,serene,ucb1,ucb1,0.46875,1.0,False
SA,q75,serene,uniform,serene,0.578125,1.0,False
SA,q75,serene,exp3,serene,0.8125,1.0,False
SA,q75,serene,roulette,serene,1.0,1.0,False
Tabu,q75,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
Tabu,q75,serene,exp3,serene,0.1455078125,0.58203125,False
Tabu,q75,serene,roulette,serene,0.3203125,0.9609375,False
Tabu,q75,serene,uniform,serene,0.38037109375,0.9609375,False
Tabu,q75,serene,ucb1,serene,0.5693359375,0.9609375,False
ALNS,q100,serene,greedy-mean,serene,0.00390625,0.01953125,True
ALNS,q100,serene,roulette,roulette,0.8125,1.0,False
ALNS,q100,serene,exp3,serene,0.84375,1.0,False
ALNS,q100,serene,uniform,serene,0.84375,1.0,False
ALNS,q100,serene,ucb1,ucb1,1.0,1.0,False
LS,q100,serene,greedy-mean,serene,0.0185546875,0.0927734375,False
LS,q100,serene,exp3,exp3,0.5234375,1.0,False
LS,q100,serene,uniform,uniform,0.6328125,1.0,False
LS,q100,serene,roulette,roulette,0.9453125,1.0,False
LS,q100,serene,ucb1,ucb1,1.0,1.0,False
SA,q100,serene,greedy-mean,serene,0.01953125,0.09765625,False
SA,q100,serene,ucb1,ucb1,0.46875,1.0,False
SA,q100,serene,exp3,exp3,0.578125,1.0,False
SA,q100,serene,roulette,serene,0.875,1.0,False
SA,q100,serene,uniform,uniform,0.90625,1.0,False
Tabu,q100,serene,greedy-mean,serene,0.000244140625,0.001220703125,True
Tabu,q100,serene,exp3,serene,0.423828125,1.0,False
Tabu,q100,serene,roulette,serene,0.51953125,1.0,False
Tabu,q100,serene,uniform,serene,0.5771484375,1.0,False
Tabu,q100,serene,ucb1,serene,0.8984375,1.0,False
