instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host
eil51,serene-full|ALNS,0,448.0,1500,1499,0.05164319248826299,0.24820512820512822,1501,430.26,453.0,449.0,448.0,448.0,serene-full,ALNS
eil51,serene-full|ALNS,1,449.0,1500,1499,0.0539906103286385,0.3003333333333334,1501,430.26,459.0,459.0,450.0,449.0,serene-full,ALNS
eil51,serene-full|ALNS,2,464.0,1500,1499,0.08920187793427226,0.38433333333333325,1501,430.26,464.0,464.0,464.0,464.0,serene-full,ALNS
eil51,serene-full|ALNS,3,433.0,1500,1499,0.016431924882629012,0.1348653846153846,1501,430.26,442.0,433.0,433.0,433.0,serene-full,ALNS
eil51,serene-full|ALNS,4,443.0,1500,1499,0.039906103286385,0.20762820512820512,1501,430.26,445.0,445.0,445.0,443.0,serene-full,ALNS
eil51,serene-noctx|ALNS,0,455.0,1500,1499,0.068075117370892,0.3113397435897435,1501,430.26,456.0,455.0,455.0,455.0,serene-noctx,ALNS
eil51,serene-noctx|ALNS,1,459.0,1500,1499,0.07746478873239426,0.3262115384615385,1501,430.26,459.0,459.0,459.0,459.0,serene-noctx,ALNS
eil51,serene-noctx|ALNS,2,436.0,1500,1499,0.023474178403755763,0.22726923076923075,1501,430.26,458.0,448.0,445.0,436.0,serene-noctx,ALNS
eil51,serene-noctx|ALNS,3,459.0,1500,1499,0.07746478873239426,0.3316666666666667,1501,430.26,459.0,459.0,459.0,459.0,serene-noctx,ALNS
eil51,serene-noctx|ALNS,4,450.0,1500,1499,0.05633802816901401,0.25448076923076923,1501,430.26,451.0,451.0,451.0,450.0,serene-noctx,ALNS
eil51,serene-nogate|ALNS,0,451.0,1500,1499,0.05868544600938974,0.27362179487179483,1501,430.26,453.0,453.0,453.0,451.0,serene-nogate,ALNS
eil51,serene-nogate|ALNS,1,441.0,1500,1499,0.035211267605633756,0.201775641025641,1501,430.26,457.0,441.0,441.0,441.0,serene-nogate,ALNS
eil51,serene-nogate|ALNS,2,435.0,1500,1499,0.021126760563380254,0.2921858974358974,1501,430.26,463.0,453.0,453.0,435.0,serene-nogate,ALNS
eil51,serene-nogate|ALNS,3,447.0,1500,1499,0.04929577464788726,0.28882051282051285,1501,430.26,458.0,458.0,450.0,447.0,serene-nogate,ALNS
eil51,serene-nogate|ALNS,4,447.0,1500,1499,0.04929577464788726,0.23095512820512826,1501,430.26,447.0,447.0,447.0,447.0,serene-nogate,ALNS
eil51,serene-plainTS|ALNS,0,455.0,1500,1499,0.068075117370892,0.3084743589743589,1501,430.26,455.0,455.0,455.0,455.0,serene-plainTS,ALNS
