config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
noctx-greedy|Tabu,1.7,auc,2.8567372740103806e-27,3.0289964170344374,20
ctx-greedy|Tabu,2.0,auc,2.8567372740103806e-27,3.0289964170344374,20
ctx-greedy|SA,3.45,auc,2.8567372740103806e-27,3.0289964170344374,20
noctx-greedy|SA,3.75,auc,2.8567372740103806e-27,3.0289964170344374,20
ctx-expl|Tabu,5.275,auc,2.8567372740103806e-27,3.0289964170344374,20
noctx-expl|Tabu,6.0,auc,2.8567372740103806e-27,3.0289964170344374,20
ctx-expl|SA,7.075,auc,2.8567372740103806e-27,3.0289964170344374,20
noctx-expl|SA,7.35,auc,2.8567372740103806e-27,3.0289964170344374,20
roulette|Tabu,9.1,auc,2.8567372740103806e-27,3.0289964170344374,20
roulette|SA,9.3,auc,2.8567372740103806e-27,3.0289964170344374,20
