instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host
eil51,ctx-expl|SA,0,434.0,1500,1499,0.018779342723004744,0.32718589743589743,1501,430.26,471.0,456.0,444.0,434.0,ctx-expl,SA
eil51,ctx-expl|SA,1,473.0,1500,1499,0.11032863849765251,0.4743974358974359,1501,430.26,480.0,473.0,473.0,473.0,ctx-expl,SA
eil51,ctx-expl|SA,2,464.0,1500,1499,0.08920187793427226,0.4613782051282051,1501,430.26,474.0,469.0,464.0,464.0,ctx-expl,SA
eil51,ctx-expl|SA,3,449.0,1500,1499,0.0539906103286385,0.35132051282051285,1501,430.26,466.0,466.0,452.0,449.0,ctx-expl,SA
eil51,ctx-expl|SA,4,458.0,1500,1499,0.07511737089201875,0.39495512820512824,1501,430.26,465.0,458.0,458.0,458.0,ctx-expl,SA
eil51,noctx-expl|SA,0,436.0,1500,1499,0.023474178403755763,0.18910897435897436,1501,430.26,440.0,436.0,436.0,436.0,noctx-expl,SA
eil51,noctx-expl|SA,1,439.0,1500,1499,0.030516431924882736,0.20700641025641028,1501,430.26,460.0,439.0,439.0,439.0,noctx-expl,SA
eil51,noctx-expl|SA,2,441.0,1500,1499,0.035211267605633756,0.24841025641025635,1501,430.26,449.0,441.0,441.0,441.0,noctx-expl,SA
eil51,noctx-expl|SA,3,435.0,1500,1499,0.021126760563380254,0.22804487179487182,1501,430.26,445.0,445.0,435.0,435.0,noctx-expl,SA
eil51,noctx-expl|SA,4,462.0,1500,1499,0.08450704225352124,0.4914871794871795,1501,430.26,494.0,462.0,462.0,462.0,noctx-expl,SA
eil51,ctx-greedy|SA,0,451.0,1500,1499,0.05868544600938974,0.2495128205128205,1501,430.26,451.0,451.0,451.0,451.0,ctx-greedy,SA
eil51,ctx-greedy|SA,1,455.0,1500,1499,0.068075117370892,0.3069038461538461,1501,430.26,455.0,455.0,455.0,455.0,ctx-greedy,SA
eil51,ctx-greedy|SA,2,446.0,1500,1499,0.04694835680751175,0.2774551282051282,1501,430.26,467.0,448.0,448.0,446.0,ctx-greedy,SA
eil51,ctx-greedy|SA,3,454.0,1500,1499,0.06572769953051649,0.27758333333333335,1501,430.26,454.0,454.0,454.0,454.0,ctx-greedy,SA
