instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host
eil51,serene-greedy|ALNS,0,435.0,1500,1499,0.021126760563380254,0.12302564102564104,1501,430.26,442.0,435.0,435.0,435.0,serene-greedy,ALNS
eil51,serene-greedy|ALNS,1,443.0,1500,1499,0.039906103286385,0.1922307692307692,1501,430.26,445.0,445.0,443.0,443.0,serene-greedy,ALNS
eil51,serene-greedy|ALNS,2,445.0,1500,1499,0.04460093896713624,0.3648461538461538,1501,430.26,465.0,464.0,461.0,445.0,serene-greedy,ALNS
eil51,serene-greedy|ALNS,3,449.0,1500,1499,0.0539906103286385,0.2561025641025641,1501,430.26,452.0,452.0,451.0,449.0,serene-greedy,ALNS
eil51,serene-greedy|ALNS,4,441.0,1500,1499,0.035211267605633756,0.17689743589743587,1501,430.26,441.0,441.0,441.0,441.0,serene-greedy,ALNS
eil51,serene-full|ALNS,0,448.0,1500,1499,0.05164319248826299,0.24820512820512822,1501,430.26,453.0,449.0,448.0,448.0,serene-full,ALNS
eil51,serene-full|ALNS,1,449.0,1500,1499,0.0539906103286385,0.3003333333333334,1501,430.26,459.0,459.0,450.0,449.0,serene-full,ALNS
eil51,serene-full|ALNS,2,464.0,1500,1499,0.08920187793427226,0.38433333333333325,1501,430.26,464.0,464.0,464.0,464.0,serene-full,ALNS
eil51,serene-full|ALNS,3,433.0,1500,1499,0.016431924882629012,0.1348653846153846,1501,430.26,442.0,433.0,433.0,433.0,serene-full,ALNS
eil51,serene-full|ALNS,4,443.0,1500,1499,0.039906103286385,0.20762820512820512,1501,430.26,445.0,445.0,445.0,443.0,serene-full,ALNS
eil51,greedy-mean|ALNS,0,435.0,1500,1499,0.021126760563380254,0.11520512820512821,1501,430.26,437.0,436.0,435.0,435.0,greedy-mean,ALNS
eil51,greedy-mean|ALNS,1,445.0,1500,1499,0.04460093896713624,0.23717948717948714,1501,430.26,453.0,451.0,445.0,445.0,greedy-mean,ALNS
eil51,greedy-mean|ALNS,2,462.0,1500,1499,0.08450704225352124,0.35949358974358975,1501,430.26,464.0,462.0,462.0,462.0,greedy-mean,ALNS
eil51,greedy-mean|ALNS,3,443.0,1500,1499,0.039906103286385,0.20719871794871794,1501,430.26,454.0,443.0,443.0,443.0,greedy-mean,ALNS
eil51,greedy-mean|ALNS,4,442.0,1500,1499,0.03755868544600949,0.1768205128205128,1501,430.26,443.0,443.0,442.0,442.0,greedy-mean,ALNS
eil51,greedy-mean-eps|ALNS,0,448.0,1500,1499,0.05164319248826299,0.245775641025641,1501,430.26,453.0,451.0,448.0,448.0,greedy-mean-eps,ALNS
eil51,greedy-mean-eps|ALNS,1,451.0,1500,1499,0.05868544600938974,0.25583333333333336,1501,430.26,454.0,451.0,451.0,451.0,greedy-mean-eps,ALNS
eil51,greedy-mean-eps|ALNS,2,448.0,1500,1499,0.05164319248826299,0.2698269230769231,1501,430.26,452.0,451.0,451.0,448.0,greedy-mean-eps,ALNS
eil51,greedy-mean-eps|ALNS,3,444.0,1500,1499,0.04225352112676051,0.21687179487179484,1501,430.26,451.0,445.0,444.0,444.0,greedy-mean-eps,ALNS
