instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host
eil51,serene-linear|ALNS,0,448.0,1500,1499,0.05164319248826299,0.24820512820512822,1501,430.26,453.0,449.0,448.0,448.0,serene-linear,ALNS
eil51,serene-linear|ALNS,1,449.0,1500,1499,0.0539906103286385,0.3003333333333334,1501,430.26,459.0,459.0,450.0,449.0,serene-linear,ALNS
eil51,serene-linear|ALNS,2,464.0,1500,1499,0.08920187793427226,0.38433333333333325,1501,430.26,464.0,464.0,464.0,464.0,serene-linear,ALNS
eil51,serene-linear|ALNS,3,433.0,1500,1499,0.016431924882629012,0.1348653846153846,1501,430.26,442.0,433.0,433.0,433.0,serene-linear,ALNS
eil51,serene-linear|ALNS,4,443.0,1500,1499,0.039906103286385,0.20762820512820512,1501,430.26,445.0,445.0,445.0,443.0,serene-linear,ALNS
eil51,serene-lgbm|ALNS,0,440.0,1500,1499,0.032863849765258246,0.17753205128205127,1501,430.26,440.0,440.0,440.0,440.0,serene-lgbm,ALNS
eil51,serene-lgbm|ALNS,1,451.0,1500,1499,0.05868544600938974,0.2935384615384615,1501,430.26,454.0,454.0,454.0,451.0,serene-lgbm,ALNS
eil51,serene-lgbm|ALNS,2,443.0,1500,1499,0.039906103286385,0.3639935897435897,1501,430.26,470.0,464.0,464.0,443.0,serene-lgbm,ALNS
eil51,serene-lgbm|ALNS,3,435.0,1500,1499,0.021126760563380254,0.18883974358974362,1501,430.26,450.0,444.0,435.0,435.0,serene-lgbm,ALNS
eil51,serene-lgbm|ALNS,4,448.0,1500,1499,0.05164319248826299,0.259775641025641,1501,430.26,451.0,448.0,448.0,448.0,serene-lgbm,ALNS
eil51,serene-lgbm-greedy|ALNS,0,448.0,1500,1499,0.05164319248826299,0.2314807692307692,1501,430.26,449.0,448.0,448.0,448.0,serene-lgbm-greedy,ALNS
eil51,serene-lgbm-greedy|ALNS,1,452.0,1500,1499,0.06103286384976525,0.2799038461538461,1501,430.26,458.0,454.0,452.0,452.0,serene-lgbm-greedy,ALNS
eil51,serene-lgbm-greedy|ALNS,2,452.0,1500,1499,0.06103286384976525,0.3006346153846154,1501,430.26,465.0,452.0,452.0,452.0,serene-lgbm-greedy,ALNS
eil51,serene-lgbm-greedy|ALNS,3,453.0,1500,1499,0.06338028169014076,0.2752628205128205,1501,430.26,454.0,454.0,453.0,453.0,serene-lgbm-greedy,ALNS
eil51,serene-lgbm-greedy|ALNS,4,442.0,1500,1499,0.03755868544600949,0.21657692307692308,1501,430.26,450.0,444.0,443.0,442.0,serene-lgbm-greedy,ALNS
eil51,serene-greedy-linear|ALNS,0,435.0,1500,1499,0.021126760563380254,0.12302564102564104,1501,430.26,442.0,435.0,435.0,435.0,serene-greedy-linear,ALNS
eil51,serene-greedy-linear|ALNS,1,443.0,1500,1499,0.039906103286385,0.1922307692307692,1501,430.26,445.0,445.0,443.0,443.0,serene-greedy-linear,ALNS
eil51,serene-greedy-linear|ALNS,2,445.0,1500,1499,0.04460093896713624,0.3648461538461538,1501,430.26,465.0,464.0,461.0,445.0,serene-greedy-linear,ALNS
eil51,serene-greedy-linear|ALNS,3,449.0,1500,1499,0.0539906103286385,0.2561025641025641,1501,430.26,452.0,452.0,451.0,449.0,serene-greedy-linear,ALNS
eil51,serene-greedy-linear|ALNS,4,441.0,1500,1499,0.035211267605633756,0.17689743589743587,1501,430.26,441.0,441.0,441.0,441.0,serene-greedy-linear,ALNS
eil51,roulette|ALNS,0,449.0,1500,1499,0.0539906103286385,0.2515384615384616,1501,430.26,449.0,449.0,449.0,449.0,roulette,ALNS
eil51,roulette|ALNS,1,448.0,1500,1499,0.05164319248826299,0.22844871794871793,1501,430.26,448.0,448.0,448.0,448.0,roulette,ALNS
eil51,roulette|ALNS,2,464.0,1500,1499,0.08920187793427226,0.3839807692307692,1501,430.26,465.0,465.0,465.0,464.0,roulette,ALNS
eil51,roulette|ALNS,3,441.0,1500,1499,0.035211267605633756,0.21880128205128202,1501,430.26,449.0,444.0,441.0,441.0,roulette,ALNS
eil51,roulette|ALNS,4,455.0,1500,1499,0.068075117370892,0.2951282051282051,1501,430.26,455.0,455.0,455.0,455.0,roulette,ALNS
berlin52,serene-linear|ALNS,0,8124.0,1500,1499,0.07716785998408904,0.272969031752254,1501,7617.42,8222.0,8124.0,8124.0,8124.0,serene-linear,ALNS
berlin52,serene-linear|ALNS,1,8062.0,1500,1499,0.06894722885176341,0.2582051483078532,1501,7617.42,8246.0,8246.0,8062.0,8062.0,serene-linear,ALNS
berlin52,serene-linear|ALNS,2,8087.0,1500,1499,0.07226199946963674,0.24625976741147262,1501,7617.42,8146.0,8087.0,8087.0,8087.0,serene-linear,ALNS
berlin52,serene-linear|ALNS,3,8422.0,1500,1499,0.11667992574913821,0.41762524500195997,1501,7617.42,8628.0,8475.0,8433.0,8422.0,serene-linear,ALNS
berlin52,serene-linear|ALNS,4,7715.0,1500,1499,0.022938212675682745,0.08868208545668366,1501,7617.42,7757.0,7741.0,7738.0,7715.0,serene-linear,ALNS
berlin52,serene-lgbm|ALNS,0,7783.0,1500,1499,0.03195438875629808,0.21738220305762448,1501,7617.42,8300.0,8040.0,7783.0,7783.0,serene-lgbm,ALNS
berlin52,serene-lgbm|ALNS,1,7885.0,1500,1499,0.04547865287722086,0.20573605122174313,1501,7617.42,8101.0,7902.0,7885.0,7885.0,serene-lgbm,ALNS
berlin52,serene-lgbm|ALNS,2,7974.0,1500,1499,0.05727923627684972,0.22834626943682215,1501,7617.42,8288.0,7974.0,7974.0,7974.0,serene-lgbm,ALNS
berlin52,serene-lgbm|ALNS,3,8043.0,1500,1499,0.06642800318217978,0.35262589834052005,1501,7617.42,8714.0,8120.0,8098.0,8043.0,serene-lgbm,ALNS
berlin52,serene-lgbm|ALNS,4,7892.0,1500,1499,0.046406788650225295,0.1409509996079969,1501,7617.42,7892.0,7892.0,7892.0,7892.0,serene-lgbm,ALNS
berlin52,serene-lgbm-greedy|ALNS,0,8040.0,1500,1499,0.06603023070803493,0.31017274271527506,1501,7617.42,8830.0,8099.0,8099.0,8040.0,serene-lgbm-greedy,ALNS
berlin52,serene-lgbm-greedy|ALNS,1,8032.0,1500,1499,0.06496950411031555,0.20344257154057233,1501,7617.42,8032.0,8032.0,8032.0,8032.0,serene-lgbm-greedy,ALNS
berlin52,serene-lgbm-greedy|ALNS,2,8032.0,1500,1499,0.06496950411031555,0.23128132758395398,1501,7617.42,8135.0,8135.0,8032.0,8032.0,serene-lgbm-greedy,ALNS
berlin52,serene-lgbm-greedy|ALNS,3,7846.0,1500,1499,0.04030761071333866,0.17584947079576638,1501,7617.42,7867.0,7846.0,7846.0,7846.0,serene-lgbm-greedy,ALNS
berlin52,serene-lgbm-greedy|ALNS,4,7895.0,1500,1499,0.04680456112437015,0.14361165555991112,1501,7617.42,7916.0,7895.0,7895.0,7895.0,serene-lgbm-greedy,ALNS
berlin52,serene-greedy-linear|ALNS,0,8259.0,1500,1499,0.09506762132060453,0.3674880439043512,1501,7617.42,8830.0,8259.0,8259.0,8259.0,serene-greedy-linear,ALNS
berlin52,serene-greedy-linear|ALNS,1,8032.0,1500,1499,0.06496950411031555,0.20348673722723112,1501,7617.42,8032.0,8032.0,8032.0,8032.0,serene-greedy-linear,ALNS
berlin52,serene-greedy-linear|ALNS,2,8032.0,1500,1499,0.06496950411031555,0.2290375016333464,1501,7617.42,8135.0,8127.0,8032.0,8032.0,serene-greedy-linear,ALNS
berlin52,serene-greedy-linear|ALNS,3,7846.0,1500,1499,0.04030761071333866,0.18697713315039854,1501,7617.42,7952.0,7846.0,7846.0,7846.0,serene-greedy-linear,ALNS
berlin52,serene-greedy-linear|ALNS,4,7673.0,1500,1499,0.017369398037655692,0.10713419574023259,1501,7617.42,7916.0,7789.0,7673.0,7673.0,serene-greedy-linear,ALNS
berlin52,roulette|ALNS,0,7982.0,1500,1499,0.05833996287456911,0.30693401280543575,1501,7617.42,8683.0,8113.0,7982.0,7982.0,roulette,ALNS
berlin52,roulette|ALNS,1,8013.0,1500,1499,0.06245027844073192,0.33611969162419963,1501,7617.42,8686.0,8258.0,8013.0,8013.0,roulette,ALNS
berlin52,roulette|ALNS,2,8013.0,1500,1499,0.06245027844073192,0.24231203449627597,1501,7617.42,8195.0,8107.0,8013.0,8013.0,roulette,ALNS
berlin52,roulette|ALNS,3,8304.0,1500,1499,0.10103420843277644,0.3760334509342741,1501,7617.42,8320.0,8315.0,8304.0,8304.0,roulette,ALNS
berlin52,roulette|ALNS,4,7803.0,1500,1499,0.034606205250596656,0.14474820331895988,1501,7617.42,7916.0,7869.0,7869.0,7803.0,roulette,ALNS
st70,serene-linear|ALNS,0,696.0,1500,1499,0.03111111111111109,0.26750161812297735,1501,681.75,746.0,735.0,696.0,696.0,serene-linear,ALNS
st70,serene-linear|ALNS,1,752.0,1500,1499,0.114074074074074,0.39455987055016173,1501,681.75,759.0,752.0,752.0,752.0,serene-linear,ALNS
st70,serene-linear|ALNS,2,731.0,1500,1499,0.0829629629629629,0.31127831715210347,1501,681.75,739.0,739.0,733.0,731.0,serene-linear,ALNS
st70,serene-linear|ALNS,3,728.0,1500,1499,0.07851851851851843,0.2847961165048544,1501,681.75,731.0,728.0,728.0,728.0,serene-linear,ALNS
st70,serene-linear|ALNS,4,719.0,1500,1499,0.06518518518518523,0.23922006472491905,1501,681.75,721.0,720.0,719.0,719.0,serene-linear,ALNS
st70,serene-lgbm|ALNS,0,745.0,1500,1499,0.10370370370370363,0.42931715210355986,1501,681.75,784.0,758.0,745.0,745.0,serene-lgbm,ALNS
st70,serene-lgbm|ALNS,1,727.0,1500,1499,0.07703703703703701,0.36352750809061485,1501,681.75,759.0,759.0,737.0,727.0,serene-lgbm,ALNS
st70,serene-lgbm|ALNS,2,709.0,1500,1499,0.0503703703703704,0.23317475728155337,1501,681.75,735.0,716.0,709.0,709.0,serene-lgbm,ALNS
st70,serene-lgbm|ALNS,3,728.0,1500,1499,0.07851851851851843,0.3248025889967638,1501,681.75,752.0,728.0,728.0,728.0,serene-lgbm,ALNS
st70,serene-lgbm|ALNS,4,720.0,1500,1499,0.06666666666666665,0.237883495145631,1501,681.75,720.0,720.0,720.0,720.0,serene-lgbm,ALNS
st70,serene-lgbm-greedy|ALNS,0,731.0,1500,1499,0.0829629629629629,0.40777993527508094,1501,681.75,781.0,762.0,745.0,731.0,serene-lgbm-greedy,ALNS
st70,serene-lgbm-greedy|ALNS,1,709.0,1500,1499,0.0503703703703704,0.2617831715210356,1501,681.75,732.0,732.0,715.0,709.0,serene-lgbm-greedy,ALNS
st70,serene-lgbm-greedy|ALNS,2,726.0,1500,1499,0.0755555555555556,0.3145275080906149,1501,681.75,732.0,732.0,730.0,726.0,serene-lgbm-greedy,ALNS
st70,serene-lgbm-greedy|ALNS,3,717.0,1500,1499,0.06222222222222218,0.3107022653721682,1501,681.75,745.0,745.0,718.0,717.0,serene-lgbm-greedy,ALNS
st70,serene-lgbm-greedy|ALNS,4,711.0,1500,1499,0.05333333333333323,0.276042071197411,1501,681.75,736.0,729.0,729.0,711.0,serene-lgbm-greedy,ALNS
st70,serene-greedy-linear|ALNS,0,723.0,1500,1499,0.07111111111111112,0.3806569579288026,1501,681.75,781.0,745.0,727.0,723.0,serene-greedy-linear,ALNS
st70,serene-greedy-linear|ALNS,1,731.0,1500,1499,0.0829629629629629,0.296135922330097,1501,681.75,742.0,731.0,731.0,731.0,serene-greedy-linear,ALNS
st70,serene-greedy-linear|ALNS,2,728.0,1500,1499,0.07851851851851843,0.3664239482200647,1501,681.75,744.0,737.0,737.0,728.0,serene-greedy-linear,ALNS
st70,serene-greedy-linear|ALNS,3,722.0,1500,1499,0.06962962962962971,0.2771521035598706,1501,681.75,745.0,722.0,722.0,722.0,serene-greedy-linear,ALNS
st70,serene-greedy-linear|ALNS,4,708.0,1500,1499,0.04888888888888898,0.2030647249190938,1501,681.75,710.0,708.0,708.0,708.0,serene-greedy-linear,ALNS
st70,roulette|ALNS,0,760.0,1500,1499,0.125925925925926,0.5191747572815533,1501,681.75,783.0,783.0,783.0,760.0,roulette,ALNS
st70,roulette|ALNS,1,712.0,1500,1499,0.05481481481481487,0.2806957928802589,1501,681.75,764.0,713.0,712.0,712.0,roulette,ALNS
st70,roulette|ALNS,2,712.0,1500,1499,0.05481481481481487,0.25408414239482197,1501,681.75,725.0,725.0,725.0,712.0,roulette,ALNS
st70,roulette|ALNS,3,750.0,1500,1499,0.11111111111111116,0.41093527508090605,1501,681.75,759.0,750.0,750.0,750.0,roulette,ALNS
st70,roulette|ALNS,4,766.0,1500,1499,0.13481481481481472,0.4874919093851133,1501,681.75,782.0,766.0,766.0,766.0,roulette,ALNS
eil76,serene-linear|ALNS,0,563.0,1500,1499,0.04646840148698894,0.23323270440251573,1501,543.38,567.0,567.0,567.0,563.0,serene-linear,ALNS
eil76,serene-linear|ALNS,1,570.0,1500,1499,0.059479553903345694,0.2580796645702306,1501,543.38,572.0,570.0,570.0,570.0,serene-linear,ALNS
eil76,serene-linear|ALNS,2,555.0,1500,1499,0.03159851301115246,0.15535010482180292,1501,543.38,556.0,555.0,555.0,555.0,serene-linear,ALNS
eil76,serene-linear|ALNS,3,557.0,1500,1499,0.03531598513011147,0.14396226415094338,1501,543.38,559.0,557.0,557.0,557.0,serene-linear,ALNS
eil76,serene-linear|ALNS,4,571.0,1500,1499,0.0613382899628252,0.28338364779874214,1501,543.38,585.0,576.0,571.0,571.0,serene-linear,ALNS
eil76,serene-lgbm|ALNS,0,574.0,1500,1499,0.06691449814126393,0.36259958071278836,1501,543.38,593.0,590.0,577.0,574.0,serene-lgbm,ALNS
eil76,serene-lgbm|ALNS,1,576.0,1500,1499,0.07063197026022294,0.2961090146750524,1501,543.38,588.0,576.0,576.0,576.0,serene-lgbm,ALNS
eil76,serene-lgbm|ALNS,2,560.0,1500,1499,0.040892193308550207,0.21459119496855344,1501,543.38,572.0,565.0,560.0,560.0,serene-lgbm,ALNS
