config,avg_rank,metric,friedman_p,nemenyi_cd,n_blocks
serene|ALNS,2.55,auc,5.029992849346441e-56,6.6298410988432925,20
serene|LS,3.55,auc,5.029992849346441e-56,6.6298410988432925,20
exp3|LS,4.8,auc,5.029992849346441e-56,6.6298410988432925,20
uniform|LS,5.15,auc,5.029992849346441e-56,6.6298410988432925,20
ucb1|LS,5.5,auc,5.029992849346441e-56,6.6298410988432925,20
roulette|LS,5.7,auc,5.029992849346441e-56,6.6298410988432925,20
roulette|ALNS,6.0,auc,5.029992849346441e-56,6.6298410988432925,20
exp3|ALNS,7.05,auc,5.029992849346441e-56,6.6298410988432925,20
uniform|ALNS,7.85,auc,5.029992849346441e-56,6.6298410988432925,20
ucb1|ALNS,8.3,auc,5.029992849346441e-56,6.6298410988432925,20
serene|Tabu,10.075,auc,5.029992849346441e-56,6.6298410988432925,20
serene|SA,12.575,auc,5.029992849346441e-56,6.6298410988432925,20
uniform|SA,14.75,auc,5.029992849346441e-56,6.6298410988432925,20
uniform|Tabu,15.3,auc,5.029992849346441e-56,6.6298410988432925,20
roulette|Tabu,15.6,auc,5.029992849346441e-56,6.6298410988432925,20
roulette|SA,15.925,auc,5.029992849346441e-56,6.6298410988432925,20
exp3|SA,16.225,auc,5.029992849346441e-56,6.6298410988432925,20
exp3|Tabu,16.9,auc,5.029992849346441e-56,6.6298410988432925,20
ucb1|SA,18.0,auc,5.029992849346441e-56,6.6298410988432925,20
ucb1|Tabu,18.2,auc,5.029992849346441e-56,6.6298410988432925,20
serene|ALNS,4.1,gap,1.3298089444712423e-46,6.6298410988432925,20
exp3|LS,4.45,gap,1.3298089444712423e-46,6.6298410988432925,20
roulette|ALNS,4.45,gap,1.3298089444712423e-46,6.6298410988432925,20
exp3|ALNS,5.15,gap,1.3298089444712423e-46,6.6298410988432925,20
roulette|LS,6.1,gap,1.3298089444712423e-46,6.6298410988432925,20
uniform|ALNS,6.85,gap,1.3298089444712423e-46,6.6298410988432925,20
uniform|LS,6.9,gap,1.3298089444712423e-46,6.6298410988432925,20
ucb1|ALNS,7.05,gap,1.3298089444712423e-46,6.6298410988432925,20
ucb1|LS,7.05,gap,1.3298089444712423e-46,6.6298410988432925,20
serene|LS,7.55,gap,1.3298089444712423e-46,6.6298410988432925,20
serene|Tabu,10.475,gap,1.3298089444712423e-46,6.6298410988432925,20
serene|SA,13.375,gap,1.3298089444712423e-46,6.6298410988432925,20
uniform|SA,13.45,gap,1.3298089444712423e-46,6.6298410988432925,20
roulette|Tabu,14.25,gap,1.3298089444712423e-46,6.6298410988432925,20
roulette|SA,15.025,gap,1.3298089444712423e-46,6.6298410988432925,20
exp3|SA,15.275,gap,1.3298089444712423e-46,6.6298410988432925,20
uniform|Tabu,16.1,gap,1.3298089444712423e-46,6.6298410988432925,20
ucb1|SA,16.55,gap,1.3298089444712423e-46,6.6298410988432925,20
exp3|Tabu,17.2,gap,1.3298089444712423e-46,6.6298410988432925,20
ucb1|Tabu,18.65,gap,1.3298089444712423e-46,6.6298410988432925,20
