instance,config,seed,best,n_evals,n_iterations,gap,auc,ttt,target,q25,q50,q75,q100,selector,host
eil51,uniform|LS,0,448.0,1500,1499,0.05164319248826299,0.2737307692307692,1501,430.26,456.0,448.0,448.0,448.0,uniform,LS
eil51,uniform|LS,1,452.0,1500,1499,0.06103286384976525,0.30795512820512816,1501,430.26,458.0,458.0,452.0,452.0,uniform,LS
eil51,uniform|LS,2,470.0,1500,1499,0.10328638497652576,0.43753205128205125,1501,430.26,470.0,470.0,470.0,470.0,uniform,LS
eil51,uniform|LS,3,448.0,1500,1499,0.05164319248826299,0.2896089743589743,1501,430.26,454.0,454.0,454.0,448.0,uniform,LS
eil51,uniform|LS,4,443.0,1500,1499,0.039906103286385,0.21146794871794872,1501,430.26,451.0,450.0,443.0,443.0,uniform,LS
eil51,roulette|LS,0,446.0,1500,1499,0.04694835680751175,0.2760641025641025,1501,430.26,453.0,453.0,453.0,446.0,roulette,LS
eil51,roulette|LS,1,443.0,1500,1499,0.039906103286385,0.27015384615384613,1501,430.26,454.0,454.0,454.0,443.0,roulette,LS
eil51,roulette|LS,2,446.0,1500,1499,0.04694835680751175,0.3344358974358974,1501,430.26,465.0,464.0,456.0,446.0,roulette,LS
eil51,roulette|LS,3,458.0,1500,1499,0.07511737089201875,0.3285833333333333,1501,430.26,458.0,458.0,458.0,458.0,roulette,LS
eil51,roulette|LS,4,446.0,1500,1499,0.04694835680751175,0.2534551282051283,1501,430.26,452.0,452.0,446.0,446.0,roulette,LS
eil51,ucb1|LS,0,453.0,1500,1499,0.06338028169014076,0.28097435897435896,1501,430.26,453.0,453.0,453.0,453.0,ucb1,LS
eil51,ucb1|LS,1,448.0,1500,1499,0.05164319248826299,0.28171794871794864,1501,430.26,458.0,458.0,448.0,448.0,ucb1,LS
eil51,ucb1|LS,2,470.0,1500,1499,0.10328638497652576,0.4285320512820513,1501,430.26,470.0,470.0,470.0,470.0,ucb1,LS
eil51,ucb1|LS,3,454.0,1500,1499,0.06572769953051649,0.29574358974358966,1501,430.26,454.0,454.0,454.0,454.0,ucb1,LS
eil51,ucb1|LS,4,439.0,1500,1499,0.030516431924882736,0.22575,1501,430.26,447.0,447.0,447.0,439.0,ucb1,LS
eil51,exp3|LS,0,446.0,1500,1499,0.04694835680751175,0.23961538461538465,1501,430.26,455.0,446.0,446.0,446.0,exp3,LS
eil51,exp3|LS,1,443.0,1500,1499,0.039906103286385,0.2879358974358975,1501,430.26,454.0,454.0,454.0,443.0,exp3,LS
eil51,exp3|LS,2,446.0,1500,1499,0.04694835680751175,0.32859615384615376,1501,430.26,465.0,456.0,456.0,446.0,exp3,LS
eil51,exp3|LS,3,445.0,1500,1499,0.04460093896713624,0.28698717948717944,1501,430.26,462.0,458.0,445.0,445.0,exp3,LS
eil51,exp3|LS,4,451.0,1500,1499,0.05868544600938974,0.2843525641025641,1501,430.26,451.0,451.0,451.0,451.0,exp3,LS
eil51,serene|LS,0,447.0,1500,1499,0.04929577464788726,0.2711923076923077,1501,430.26,453.0,453.0,453.0,447.0,serene,LS
eil51,serene|LS,1,445.0,1500,1499,0.04460093896713624,0.19024999999999997,1501,430.26,445.0,445.0,445.0,445.0,serene,LS
eil51,serene|LS,2,449.0,1500,1499,0.0539906103286385,0.25309615384615386,1501,430.26,454.0,449.0,449.0,449.0,serene,LS
eil51,serene|LS,3,452.0,1500,1499,0.06103286384976525,0.28907051282051277,1501,430.26,458.0,452.0,452.0,452.0,serene,LS
eil51,serene|LS,4,451.0,1500,1499,0.05868544600938974,0.2512179487179487,1501,430.26,451.0,451.0,451.0,451.0,serene,LS
eil51,uniform|SA,0,442.0,1500,1499,0.03755868544600949,0.45975,1501,430.26,509.0,461.0,449.0,442.0,uniform,SA
eil51,uniform|SA,1,446.0,1500,1499,0.04694835680751175,0.34659615384615383,1501,430.26,475.0,452.0,446.0,446.0,uniform,SA
eil51,uniform|SA,2,451.0,1500,1499,0.05868544600938974,0.4347307692307692,1501,430.26,502.0,456.0,451.0,451.0,uniform,SA
eil51,uniform|SA,3,436.0,1500,1499,0.023474178403755763,0.3873525641025642,1501,430.26,485.0,469.0,442.0,436.0,uniform,SA
eil51,uniform|SA,4,468.0,1500,1499,0.09859154929577474,0.4683141025641027,1501,430.26,492.0,468.0,468.0,468.0,uniform,SA
eil51,roulette|SA,0,458.0,1500,1499,0.07511737089201875,0.4707884615384616,1501,430.26,509.0,458.0,458.0,458.0,roulette,SA
eil51,roulette|SA,1,437.0,1500,1499,0.025821596244131495,0.268948717948718,1501,430.26,494.0,437.0,437.0,437.0,roulette,SA
eil51,roulette|SA,2,462.0,1500,1499,0.08450704225352124,0.4873846153846154,1501,430.26,512.0,462.0,462.0,462.0,roulette,SA
eil51,roulette|SA,3,460.0,1500,1499,0.07981220657277,0.45283974358974366,1501,430.26,495.0,460.0,460.0,460.0,roulette,SA
eil51,roulette|SA,4,440.0,1500,1499,0.032863849765258246,0.40044871794871795,1501,430.26,510.0,454.0,440.0,440.0,roulette,SA
eil51,ucb1|SA,0,442.0,1500,1499,0.03755868544600949,0.3519038461538462,1501,430.26,509.0,442.0,442.0,442.0,ucb1,SA
eil51,ucb1|SA,1,469.0,1500,1499,0.10093896713615025,0.5929935897435897,1501,430.26,495.0,494.0,476.0,469.0,ucb1,SA
