host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene,exp3,serene,1.9073486328125e-06,7.62939453125e-06,True
ALNS,auc,serene,uniform,serene,1.9073486328125e-06,7.62939453125e-06,True
ALNS,auc,serene,ucb1,serene,3.814697265625e-06,7.62939453125e-06,True
ALNS,auc,serene,roulette,serene,9.5367431640625e-06,9.5367431640625e-06,True
LS,auc,serene,ucb1,serene,0.0031528472900390625,0.01261138916015625,True
LS,auc,serene,roulette,serene,0.00485992431640625,0.01457977294921875,True
LS,auc,serene,uniform,serene,0.01923370361328125,0.0384674072265625,True
LS,auc,serene,exp3,serene,0.026641845703125,0.0384674072265625,True
SA,auc,serene,ucb1,serene,1.9073486328125e-06,7.62939453125e-06,True
SA,auc,serene,roulette,serene,9.5367431640625e-06,2.86102294921875e-05,True
SA,auc,serene,exp3,serene,4.76837158203125e-05,9.5367431640625e-05,True
SA,auc,serene,uniform,serene,0.002712249755859375,0.002712249755859375,True
Tabu,auc,serene,exp3,serene,1.9073486328125e-06,7.62939453125e-06,True
Tabu,auc,serene,roulette,serene,1.9073486328125e-06,7.62939453125e-06,True
Tabu,auc,serene,ucb1,serene,1.9073486328125e-06,7.62939453125e-06,True
Tabu,auc,serene,uniform,serene,0.000133514404296875,0.000133514404296875,True
ALNS,gap,serene,uniform,serene,0.0031528472900390625,0.01261138916015625,True
ALNS,gap,serene,ucb1,serene,0.0072956085205078125,0.021886825561523438,True
ALNS,gap,serene,exp3,serene,0.039989471435546875,0.07997894287109375,False
ALNS,gap,serene,roulette,serene,0.13272666931152344,0.13272666931152344,False
LS,gap,serene,exp3,exp3,0.001689910888671875,0.0067596435546875,True
LS,gap,serene,roulette,roulette,0.4523754119873047,1.0,False
LS,gap,serene,uniform,uniform,0.4523754119873047,1.0,False
LS,gap,serene,ucb1,ucb1,0.47490501403808594,1.0,False
SA,gap,serene,ucb1,serene,0.0072956085205078125,0.02918243408203125,True
SA,gap,serene,exp3,serene,0.04405403137207031,0.13216209411621094,False
SA,gap,serene,uniform,serene,0.069580078125,0.13916015625,False
SA,gap,serene,roulette,serene,0.1230926513671875,0.13916015625,False
Tabu,gap,serene,exp3,serene,1.9073486328125e-06,7.62939453125e-06,True
Tabu,gap,serene,ucb1,serene,1.9073486328125e-06,7.62939453125e-06,True
Tabu,gap,serene,uniform,serene,0.000133514404296875,0.00026702880859375,True
Tabu,gap,serene,roulette,serene,0.0001678466796875,0.00026702880859375,True
